t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,0
1527490631,0
1527490634,311
1527490637,311
1527490640,311
1527490643,311
1527490646,311
1527490649,311
1527490652,311
1527490655,311
1527490658,311
1527490661,311
1527490664,311
1527490667,311
1527490670,311
1527490673,311
1527490676,311
1527490679,311
1527490682,311
1527490685,311
1527490688,311
1527490691,311
1527490694,311
1527490697,311
1527490700,311
1527490703,311
1527490706,311
1527490709,311
1527490712,311
1527490715,311
1527490718,311
1527490721,311
1527490724,311
1527490727,311
1527490730,311
1527490733,311
1527490736,311
1527490739,311
1527490742,311
1527490745,311
1527490748,311
1527490751,311
1527490754,311
1527490757,311
1527490760,311
1527490763,311
1527490766,311
1527490769,311
1527490772,311
1527490775,311
1527490778,311
1527490781,311
1527490784,311
1527490787,311
1527490790,311
1527490793,311
1527490796,311
1527490799,311
1527490802,311
1527490805,311
1527490808,311
1527490811,311
1527490814,311
1527490817,311
1527490820,311
1527490823,311
1527490826,311
1527490829,311
1527490832,311
1527490835,311
1527490838,311
1527490841,311
1527490844,311
1527490847,311
1527490850,311
1527490853,311
1527490856,311
1527490859,311
1527490862,311
1527490865,311
1527490868,311
1527490871,311
1527490874,311
1527490877,311
1527490880,312
1527490883,3799
1527490886,6763
1527490889,6845
1527490892,6845
1527490895,6845
1527490898,6845
1527490901,6845
1527490904,6897
1527490907,6897
1527490910,6897
1527490913,6897
1527490916,6897
1527490919,6897
1527490922,6943
1527490925,6943
1527490928,6943
1527490931,6943
1527490934,6943
1527490937,6943
1527490940,6943
1527490943,6979
1527490946,6979
1527490949,6979
1527490952,6979
1527490955,6979
1527490958,6979
1527490961,6979
1527490964,7094
1527490967,7094
1527490970,7094
1527490973,7094
1527490976,7094
1527490979,7094
1527490982,7094
1527490985,7094
1527490988,7094
1527490991,7094
1527490994,7094
1527490997,7094
1527491000,7094
1527491003,7094
1527491006,7094
1527491009,7094
1527491012,7094
1527491015,7094
1527491018,7094
1527491021,7094
1527491024,7094
1527491027,7094
1527491030,7094
1527491033,7094
1527491036,7094
1527491039,7094
1527491042,7094
1527491045,7094
1527491048,7094
1527491051,7094
1527491054,7094
1527491057,7094
1527491060,7094
1527491063,7094
1527491066,7094
1527491069,7094
1527491072,7094
1527491075,7094
1527491078,7094
1527491081,7094
1527491084,7094
1527491087,7094
1527491090,7094
1527491093,7094
1527491096,7094
1527491099,7094
1527491102,7094
1527491105,7094
1527491108,7094
1527491111,7094
1527491114,7094
