t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,0
1527490631,0
1527490634,181
1527490637,181
1527490640,181
1527490643,181
1527490646,181
1527490649,181
1527490652,181
1527490655,181
1527490658,181
1527490661,181
1527490664,181
1527490667,181
1527490670,181
1527490673,181
1527490676,181
1527490679,181
1527490682,181
1527490685,181
1527490688,181
1527490691,181
1527490694,181
1527490697,181
1527490700,181
1527490703,181
1527490706,181
1527490709,181
1527490712,181
1527490715,181
1527490718,181
1527490721,181
1527490724,181
1527490727,181
1527490730,181
1527490733,181
1527490736,181
1527490739,181
1527490742,181
1527490745,181
1527490748,181
1527490751,181
1527490754,181
1527490757,181
1527490760,181
1527490763,181
1527490766,181
1527490769,181
1527490772,181
1527490775,181
1527490778,181
1527490781,181
1527490784,181
1527490787,181
1527490790,181
1527490793,181
1527490796,181
1527490799,181
1527490802,181
1527490805,181
1527490808,181
1527490811,181
1527490814,181
1527490817,181
1527490820,181
1527490823,181
1527490826,181
1527490829,181
1527490832,181
1527490835,181
1527490838,181
1527490841,181
1527490844,181
1527490847,181
1527490850,181
1527490853,181
1527490856,181
1527490859,181
1527490862,181
1527490865,181
1527490868,181
1527490871,181
1527490874,181
1527490877,181
1527490880,181
1527490883,3389
1527490886,6210
1527490889,6292
1527490892,6292
1527490895,6292
1527490898,6292
1527490901,6299
1527490904,6322
1527490907,6322
1527490910,6322
1527490913,6322
1527490916,6322
1527490919,6322
1527490922,6350
1527490925,6350
1527490928,6350
1527490931,6350
1527490934,6350
1527490937,6350
1527490940,6350
1527490943,6371
1527490946,6371
1527490949,6371
1527490952,6371
1527490955,6371
1527490958,6371
1527490961,6371
1527490964,6393
1527490967,6393
1527490970,6393
1527490973,6393
1527490976,6393
1527490979,6393
1527490982,6393
1527490985,6393
1527490988,6393
1527490991,6393
1527490994,6393
1527490997,6393
1527491000,6393
1527491003,6393
1527491006,6393
1527491009,6393
1527491012,6393
1527491015,6393
1527491018,6393
1527491021,6393
1527491024,6393
1527491027,6393
1527491030,6393
1527491033,6393
1527491036,6393
1527491039,6393
1527491042,6393
1527491045,6393
1527491048,6393
1527491051,6393
1527491054,6393
1527491057,6393
1527491060,6393
1527491063,6393
1527491066,6393
1527491069,6393
1527491072,6393
1527491075,6393
1527491078,6393
1527491081,6393
1527491084,6393
1527491087,6393
1527491090,6393
1527491093,6393
1527491096,6393
1527491099,6393
1527491102,6393
1527491105,6393
1527491108,6393
1527491111,6393
1527491114,6393
