t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,0
1527490631,0
1527490634,0
1527490637,0
1527490640,0
1527490643,0
1527490646,0
1527490649,0
1527490652,0
1527490655,0
1527490658,0
1527490661,0
1527490664,0
1527490667,0
1527490670,0
1527490673,0
1527490676,0
1527490679,0
1527490682,0
1527490685,0
1527490688,0
1527490691,0
1527490694,0
1527490697,0
1527490700,0
1527490703,0
1527490706,0
1527490709,0
1527490712,0
1527490715,0
1527490718,0
1527490721,0
1527490724,0
1527490727,0
1527490730,0
1527490733,0
1527490736,0
1527490739,0
1527490742,0
1527490745,0
1527490748,0
1527490751,0
1527490754,0
1527490757,0
1527490760,0
1527490763,0
1527490766,0
1527490769,0
1527490772,0
1527490775,0
1527490778,0
1527490781,0
1527490784,0
1527490787,0
1527490790,0
1527490793,0
1527490796,0
1527490799,0
1527490802,0
1527490805,0
1527490808,0
1527490811,0
1527490814,0
1527490817,0
1527490820,0
1527490823,0
1527490826,0
1527490829,0
1527490832,0
1527490835,0
1527490838,0
1527490841,0
1527490844,0
1527490847,0
1527490850,0
1527490853,0
1527490856,0
1527490859,0
1527490862,0
1527490865,0
1527490868,0
1527490871,0
1527490874,0
1527490877,0
1527490880,1
1527490883,1
1527490886,1
1527490889,1
1527490892,1
1527490895,1
1527490898,1
1527490901,1
1527490904,1
1527490907,1
1527490910,1
1527490913,1
1527490916,1
1527490919,1
1527490922,1
1527490925,1
1527490928,1
1527490931,1
1527490934,1
1527490937,1
1527490940,1
1527490943,1
1527490946,1
1527490949,1
1527490952,1
1527490955,1
1527490958,1
1527490961,1
1527490964,1
1527490967,1
1527490970,1
1527490973,1
1527490976,1
1527490979,1
1527490982,1
1527490985,1
1527490988,1
1527490991,1
1527490994,1
1527490997,1
1527491000,1
1527491003,1
1527491006,1
1527491009,1
1527491012,1
1527491015,1
1527491018,1
1527491021,1
1527491024,1
1527491027,1
1527491030,1
1527491033,1
1527491036,1
1527491039,1
1527491042,1
1527491045,1
1527491048,1
1527491051,1
1527491054,1
1527491057,1
1527491060,1
1527491063,1
1527491066,1
1527491069,1
1527491072,1
1527491075,1
1527491078,1
1527491081,1
1527491084,1
1527491087,1
1527491090,1
1527491093,1
1527491096,1
1527491099,1
1527491102,1
1527491105,1
1527491108,1
1527491111,1
1527491114,1
1527491117,1
1527491120,1
1527491123,1
1527491126,1
1527491129,1
1527491132,1
1527491135,1
1527491138,1
1527491141,1
1527491144,1
1527491147,1
