t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,0
1527490631,0
1527490634,4
1527490637,4
1527490640,4
1527490643,4
1527490646,4
1527490649,4
1527490652,4
1527490655,4
1527490658,4
1527490661,4
1527490664,4
1527490667,4
1527490670,4
1527490673,4
1527490676,4
1527490679,4
1527490682,4
1527490685,4
1527490688,4
1527490691,4
1527490694,4
1527490697,4
1527490700,4
1527490703,4
1527490706,4
1527490709,4
1527490712,4
1527490715,4
1527490718,4
1527490721,4
1527490724,4
1527490727,4
1527490730,4
1527490733,4
1527490736,4
1527490739,4
1527490742,4
1527490745,4
1527490748,4
1527490751,4
1527490754,4
1527490757,4
1527490760,4
1527490763,4
1527490766,4
1527490769,4
1527490772,4
1527490775,4
1527490778,4
1527490781,4
1527490784,4
1527490787,4
1527490790,4
1527490793,4
1527490796,4
1527490799,4
1527490802,4
1527490805,4
1527490808,4
1527490811,4
1527490814,4
1527490817,4
1527490820,4
1527490823,4
1527490826,4
1527490829,4
1527490832,4
1527490835,4
1527490838,4
1527490841,4
1527490844,4
1527490847,4
1527490850,4
1527490853,4
1527490856,4
1527490859,4
1527490862,4
1527490865,4
1527490868,4
1527490871,4
1527490874,4
1527490877,4
1527490880,7
1527490883,31
1527490886,41
1527490889,48
1527490892,48
1527490895,48
1527490898,48
1527490901,59
1527490904,70
1527490907,70
1527490910,70
1527490913,70
1527490916,70
1527490919,70
1527490922,92
1527490925,92
1527490928,92
1527490931,92
1527490934,92
1527490937,92
1527490940,92
1527490943,114
1527490946,114
1527490949,114
1527490952,114
1527490955,114
1527490958,114
1527490961,114
1527490964,136
1527490967,136
1527490970,136
1527490973,136
1527490976,136
1527490979,136
1527490982,136
1527490985,136
1527490988,136
1527490991,136
1527490994,136
1527490997,136
1527491000,136
1527491003,136
1527491006,136
1527491009,136
1527491012,136
1527491015,136
1527491018,136
1527491021,136
1527491024,136
1527491027,136
1527491030,136
1527491033,136
1527491036,136
1527491039,136
1527491042,136
1527491045,136
1527491048,136
1527491051,136
1527491054,136
1527491057,136
1527491060,136
1527491063,136
1527491066,136
1527491069,136
1527491072,136
1527491075,136
1527491078,136
1527491081,136
1527491084,136
1527491087,136
1527491090,136
1527491093,136
1527491096,136
1527491099,136
1527491102,136
1527491105,136
1527491108,136
1527491111,136
1527491114,136
1527491117,136
1527491120,136
1527491123,136
1527491126,136
1527491129,136
1527491132,136
1527491135,136
1527491138,136
1527491141,136
1527491144,136
1527491147,136
