t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,0
1527490631,0
1527490634,1
1527490637,1
1527490640,1
1527490643,1
1527490646,1
1527490649,1
1527490652,1
1527490655,1
1527490658,1
1527490661,1
1527490664,1
1527490667,1
1527490670,1
1527490673,1
1527490676,1
1527490679,1
1527490682,1
1527490685,1
1527490688,1
1527490691,1
1527490694,1
1527490697,1
1527490700,1
1527490703,1
1527490706,1
1527490709,1
1527490712,1
1527490715,1
1527490718,1
1527490721,1
1527490724,1
1527490727,1
1527490730,1
1527490733,1
1527490736,1
1527490739,1
1527490742,1
1527490745,1
1527490748,1
1527490751,1
1527490754,1
1527490757,1
1527490760,1
1527490763,1
1527490766,1
1527490769,1
1527490772,1
1527490775,1
1527490778,1
1527490781,1
1527490784,1
1527490787,1
1527490790,1
1527490793,1
1527490796,1
1527490799,1
1527490802,1
1527490805,1
1527490808,1
1527490811,1
1527490814,1
1527490817,1
1527490820,1
1527490823,1
1527490826,1
1527490829,1
1527490832,1
1527490835,1
1527490838,1
1527490841,1
1527490844,1
1527490847,1
1527490850,1
1527490853,1
1527490856,1
1527490859,1
1527490862,1
1527490865,1
1527490868,1
1527490871,1
1527490874,1
1527490877,1
1527490880,3
1527490883,6
1527490886,7
1527490889,8
1527490892,8
1527490895,8
1527490898,8
1527490901,10
1527490904,11
1527490907,11
1527490910,11
1527490913,11
1527490916,11
1527490919,11
1527490922,14
1527490925,14
1527490928,14
1527490931,14
1527490934,14
1527490937,14
1527490940,14
1527490943,17
1527490946,17
1527490949,17
1527490952,17
1527490955,17
1527490958,17
1527490961,17
1527490964,20
1527490967,20
1527490970,20
1527490973,20
1527490976,20
1527490979,20
1527490982,20
1527490985,20
1527490988,20
1527490991,20
1527490994,20
1527490997,20
1527491000,20
1527491003,20
1527491006,20
1527491009,20
1527491012,20
1527491015,20
1527491018,20
1527491021,20
1527491024,20
1527491027,20
1527491030,20
1527491033,20
1527491036,20
1527491039,20
1527491042,20
1527491045,20
1527491048,20
1527491051,20
1527491054,20
1527491057,20
1527491060,20
1527491063,20
1527491066,20
1527491069,20
1527491072,20
1527491075,20
1527491078,20
1527491081,20
1527491084,20
1527491087,20
1527491090,20
1527491093,20
1527491096,20
1527491099,20
1527491102,20
1527491105,20
1527491108,20
1527491111,20
1527491114,20
1527491117,20
1527491120,20
1527491123,20
1527491126,20
1527491129,20
1527491132,20
1527491135,20
1527491138,20
1527491141,20
1527491144,20
1527491147,20
