t,value
1527490619,14
1527490622,14
1527490625,14
1527490628,14
1527490631,14
1527490634,14
1527490637,14
1527490640,14
1527490643,14
1527490646,14
1527490649,14
1527490652,14
1527490655,14
1527490658,14
1527490661,14
1527490664,14
1527490667,14
1527490670,14
1527490673,14
1527490676,14
1527490679,14
1527490682,14
1527490685,14
1527490688,14
1527490691,14
1527490694,14
1527490697,14
1527490700,14
1527490703,14
1527490706,14
1527490709,14
1527490712,14
1527490715,14
1527490718,14
1527490721,14
1527490724,14
1527490727,14
1527490730,14
1527490733,14
1527490736,14
1527490739,14
1527490742,14
1527490745,14
1527490748,14
1527490751,14
1527490754,14
1527490757,14
1527490760,14
1527490763,14
1527490766,14
1527490769,14
1527490772,14
1527490775,14
1527490778,14
1527490781,14
1527490784,14
1527490787,14
1527490790,14
1527490793,14
1527490796,14
1527490799,14
1527490802,14
1527490805,14
1527490808,14
1527490811,14
1527490814,14
1527490817,14
1527490820,14
1527490823,14
1527490826,14
1527490829,14
1527490832,14
1527490835,14
1527490838,14
1527490841,14
1527490844,14
1527490847,14
1527490850,14
1527490853,14
1527490856,14
1527490859,14
1527490862,14
1527490865,14
1527490868,14
1527490871,14
1527490874,14
1527490877,14
1527490880,14
1527490883,14
1527490886,14
1527490889,14
1527490892,14
1527490895,14
1527490898,14
1527490901,14
1527490904,14
1527490907,14
1527490910,14
1527490913,14
1527490916,14
1527490919,14
1527490922,14
1527490925,14
1527490928,14
1527490931,14
1527490934,14
1527490937,14
1527490940,14
1527490943,14
1527490946,14
1527490949,14
1527490952,14
1527490955,14
1527490958,14
1527490961,14
1527490964,14
1527490967,14
1527490970,14
1527490973,14
1527490976,14
1527490979,14
1527490982,14
1527490985,14
1527490988,14
1527490991,14
1527490994,14
1527490997,14
1527491000,14
1527491003,14
1527491006,14
1527491009,14
1527491012,14
1527491015,14
1527491018,14
1527491021,14
1527491024,14
1527491027,14
1527491030,14
1527491033,14
1527491036,14
1527491039,14
1527491042,14
1527491045,14
1527491048,14
1527491051,14
1527491054,14
1527491057,14
1527491060,14
1527491063,14
1527491066,14
1527491069,14
1527491072,14
1527491075,14
1527491078,14
1527491081,14
