t,value
1527490619,32
1527490622,32
1527490625,32
1527490628,32
1527490631,32
1527490634,32
1527490637,32
1527490640,32
1527490643,32
1527490646,32
1527490649,32
1527490652,32
1527490655,32
1527490658,32
1527490661,32
1527490664,32
1527490667,32
1527490670,32
1527490673,32
1527490676,32
1527490679,38
1527490682,38
1527490685,38
1527490688,38
1527490691,38
1527490694,38
1527490697,38
1527490700,38
1527490703,38
1527490706,38
1527490709,38
1527490712,38
1527490715,38
1527490718,38
1527490721,38
1527490724,38
1527490727,38
1527490730,38
1527490733,38
1527490736,38
1527490739,44
1527490742,44
1527490745,44
1527490748,44
1527490751,44
1527490754,44
1527490757,44
1527490760,44
1527490763,44
1527490766,44
1527490769,44
1527490772,44
1527490775,44
1527490778,44
1527490781,44
1527490784,44
1527490787,44
1527490790,44
1527490793,44
1527490796,44
1527490799,50
1527490802,50
1527490805,50
1527490808,50
1527490811,50
1527490814,50
1527490817,50
1527490820,50
1527490823,50
1527490826,50
1527490829,50
1527490832,50
1527490835,50
1527490838,50
1527490841,50
1527490844,50
1527490847,50
1527490850,50
1527490853,50
1527490856,50
1527490859,56
1527490862,56
1527490865,56
1527490868,56
1527490871,56
1527490874,56
1527490877,56
1527490880,56
1527490883,56
1527490886,56
1527490889,56
1527490892,56
1527490895,56
1527490898,56
1527490901,56
1527490904,56
1527490907,56
1527490910,56
1527490913,56
1527490916,56
1527490919,62
1527490922,62
1527490925,62
1527490928,62
1527490931,62
1527490934,62
1527490937,62
1527490940,62
1527490943,62
1527490946,62
1527490949,62
1527490952,62
1527490955,62
1527490958,62
1527490961,62
1527490964,62
1527490967,62
1527490970,62
1527490973,62
1527490976,62
1527490979,68
1527490982,68
1527490985,68
1527490988,68
1527490991,68
1527490994,68
1527490997,68
1527491000,68
1527491003,68
1527491006,68
1527491009,68
1527491012,68
1527491015,68
1527491018,68
1527491021,68
1527491024,68
1527491027,68
1527491030,68
1527491033,68
1527491036,68
1527491039,74
1527491042,74
1527491045,74
1527491048,74
1527491051,74
1527491054,74
1527491057,74
1527491060,74
1527491063,74
