t,value
1527490619,22
1527490622,22
1527490625,22
1527490628,23
1527490631,23
1527490634,23
1527490637,23
1527490640,23
1527490643,23
1527490646,23
1527490649,23
1527490652,23
1527490655,23
1527490658,23
1527490661,23
1527490664,23
1527490667,23
1527490670,23
1527490673,23
1527490676,23
1527490679,23
1527490682,23
1527490685,23
1527490688,23
1527490691,23
1527490694,23
1527490697,23
1527490700,23
1527490703,23
1527490706,23
1527490709,23
1527490712,23
1527490715,23
1527490718,23
1527490721,23
1527490724,23
1527490727,23
1527490730,23
1527490733,23
1527490736,23
1527490739,23
1527490742,23
1527490745,23
1527490748,23
1527490751,23
1527490754,23
1527490757,23
1527490760,23
1527490763,23
1527490766,23
1527490769,23
1527490772,23
1527490775,23
1527490778,23
1527490781,23
1527490784,23
1527490787,23
1527490790,23
1527490793,23
1527490796,23
1527490799,23
1527490802,23
1527490805,23
1527490808,23
1527490811,23
1527490814,23
1527490817,23
1527490820,23
1527490823,23
1527490826,23
1527490829,23
1527490832,23
1527490835,23
1527490838,23
1527490841,23
1527490844,23
1527490847,23
1527490850,23
1527490853,23
1527490856,23
1527490859,23
1527490862,23
1527490865,23
1527490868,23
1527490871,23
1527490874,23
1527490877,23
1527490880,23
1527490883,23
1527490886,23
1527490889,23
1527490892,23
1527490895,23
1527490898,23
1527490901,23
1527490904,23
1527490907,23
1527490910,23
1527490913,23
1527490916,23
1527490919,23
1527490922,23
1527490925,23
1527490928,23
1527490931,23
1527490934,23
1527490937,23
1527490940,23
1527490943,23
1527490946,23
1527490949,23
1527490952,23
1527490955,23
1527490958,23
1527490961,23
1527490964,23
1527490967,23
1527490970,23
1527490973,23
1527490976,23
1527490979,23
1527490982,23
1527490985,23
1527490988,23
1527490991,23
1527490994,23
1527490997,23
1527491000,23
1527491003,23
1527491006,23
1527491009,23
1527491012,23
1527491015,23
1527491018,23
1527491021,23
1527491024,23
1527491027,23
1527491030,23
1527491033,23
1527491036,23
1527491039,23
1527491042,23
1527491045,23
1527491048,23
1527491051,23
1527491054,23
1527491057,23
1527491060,23
1527491063,23
1527491066,23
1527491069,23
1527491072,23
1527491075,23
1527491078,23
1527491081,23
1527491084,23
1527491087,23
1527491090,23
1527491093,23
1527491096,23
1527491099,23
1527491102,23
1527491105,23
1527491108,23
1527491111,23
1527491114,23
1527491117,23
1527491120,23
1527491123,23
1527491126,23
1527491129,23
1527491132,23
1527491135,23
1527491138,23
1527491141,23
1527491144,23
1527491147,23
1527491150,23
1527491153,23
1527491156,23
1527491159,23
1527491162,23
1527491165,23
1527491168,23
1527491171,23
1527491174,23
1527491177,23
1527491180,23
1527491183,23
1527491186,23
1527491189,23
1527491192,23
1527491195,23
1527491198,23
1527491201,23
1527491204,23
1527491207,23
1527491210,23
1527491213,23
1527491216,23
1527491219,23
1527491222,23
1527491225,23
1527491228,23
1527491231,23
1527491234,23
1527491237,23
1527491240,23
1527491243,23
1527491246,23
1527491249,23
1527491252,23
1527491255,23
1527491258,23
1527491261,23
1527491264,23
1527491267,23
1527491270,23
1527491273,23
1527491276,23
1527491279,23
1527491282,23
1527491285,23
1527491288,23
1527491291,23
1527491294,23
1527491297,23
1527491300,23
1527491303,23
1527491306,23
1527491309,23
1527491312,23
1527491315,23
1527491318,23
1527491321,23
1527491324,23
1527491327,23
1527491330,23
1527491333,23
1527491336,23
1527491339,23
1527491342,23
1527491345,23
1527491348,23
1527491351,23
1527491354,23
1527491357,23
1527491360,23
1527491363,23
1527491366,23
1527491369,23
1527491372,23
1527491375,23
1527491378,23
1527491381,23
1527491384,23
1527491387,23
1527491390,23
1527491393,23
1527491396,23
1527491399,23
1527491402,23
1527491405,23
1527491408,23
1527491411,23
1527491414,23
1527491417,23
1527491420,23
1527491423,23
1527491426,23
1527491429,23
1527491432,23
1527491435,23
1527491438,23
1527491441,23
1527491444,23
1527491447,23
1527491450,23
1527491453,23
1527491456,23
1527491459,23
1527491462,23
1527491465,23
1527491468,23
1527491471,23
1527491474,23
1527491477,23
1527491480,23
1527491483,23
1527491486,23
1527491489,23
1527491492,23
1527491495,23
1527491498,23
1527491501,23
1527491504,23
1527491507,23
1527491510,23
1527491513,23
1527491516,23
1527491519,23
1527491522,23
1527491525,23
1527491528,23
1527491531,23
1527491534,23
1527491537,23
1527491540,23
1527491543,23
1527491546,23
1527491549,23
1527491552,23
1527491555,23
1527491558,23
1527491561,23
1527491564,23
1527491567,23
1527491570,23
1527491573,23
1527491576,23
1527491579,23
1527491582,23
1527491585,23
1527491588,23
1527491591,23
1527491594,23
1527491597,23
1527491600,23
1527491603,23
1527491606,23
1527491609,23
1527491612,23
1527491615,23
1527491618,23
1527491621,23
1527491624,23
1527491627,23
1527491630,23
1527491633,23
1527491636,23
1527491639,23
1527491642,23
1527491645,23
1527491648,23
1527491651,23
1527491654,23
1527491657,23
1527491660,23
1527491663,23
1527491666,23
1527491669,23
1527491672,23
1527491675,23
1527491678,23
1527491681,23
1527491684,23
