t,value
1527490619,68
1527490622,68
1527490625,68
1527490628,69
1527490631,69
1527490634,69
1527490637,69
1527490640,69
1527490643,69
1527490646,69
1527490649,69
1527490652,69
1527490655,69
1527490658,69
1527490661,69
1527490664,69
1527490667,69
1527490670,69
1527490673,69
1527490676,69
1527490679,89
1527490682,89
1527490685,89
1527490688,89
1527490691,89
1527490694,89
1527490697,89
1527490700,89
1527490703,89
1527490706,89
1527490709,89
1527490712,89
1527490715,89
1527490718,89
1527490721,89
1527490724,89
1527490727,89
1527490730,89
1527490733,89
1527490736,89
1527490739,109
1527490742,109
1527490745,109
1527490748,109
1527490751,109
1527490754,109
1527490757,109
1527490760,109
1527490763,109
1527490766,109
1527490769,109
1527490772,109
1527490775,109
1527490778,109
1527490781,109
1527490784,109
1527490787,109
1527490790,109
1527490793,109
1527490796,109
1527490799,129
1527490802,129
1527490805,129
1527490808,129
1527490811,129
1527490814,129
1527490817,129
1527490820,129
1527490823,129
1527490826,129
1527490829,129
1527490832,129
1527490835,129
1527490838,129
1527490841,129
1527490844,129
1527490847,129
1527490850,129
1527490853,129
1527490856,129
1527490859,149
1527490862,149
1527490865,149
1527490868,149
1527490871,149
1527490874,149
1527490877,149
1527490880,149
1527490883,149
1527490886,149
1527490889,149
1527490892,149
1527490895,149
1527490898,149
1527490901,149
1527490904,149
1527490907,149
1527490910,149
1527490913,149
1527490916,149
1527490919,169
1527490922,169
1527490925,169
1527490928,169
1527490931,169
1527490934,169
1527490937,169
1527490940,169
1527490943,169
1527490946,169
1527490949,169
1527490952,169
1527490955,169
1527490958,169
1527490961,169
1527490964,169
1527490967,169
1527490970,169
1527490973,169
1527490976,169
1527490979,189
1527490982,189
1527490985,189
1527490988,189
1527490991,189
1527490994,189
1527490997,189
1527491000,189
1527491003,189
1527491006,189
1527491009,189
1527491012,189
1527491015,189
1527491018,189
1527491021,189
1527491024,189
1527491027,189
1527491030,189
1527491033,189
1527491036,189
1527491039,209
1527491042,209
1527491045,209
1527491048,209
1527491051,209
1527491054,209
1527491057,209
1527491060,209
1527491063,209
1527491066,209
1527491069,209
1527491072,209
1527491075,209
1527491078,209
1527491081,209
1527491084,209
1527491087,209
1527491090,209
1527491093,209
1527491096,209
1527491099,229
1527491102,229
1527491105,229
1527491108,229
1527491111,229
1527491114,229
1527491117,229
1527491120,229
1527491123,229
