t,value
1527490619,51
1527490622,51
1527490625,51
1527490628,52
1527490631,52
1527490634,52
1527490637,52
1527490640,52
1527490643,52
1527490646,52
1527490649,52
1527490652,52
1527490655,52
1527490658,52
1527490661,52
1527490664,52
1527490667,52
1527490670,52
1527490673,52
1527490676,52
1527490679,58
1527490682,58
1527490685,58
1527490688,58
1527490691,58
1527490694,58
1527490697,58
1527490700,58
1527490703,58
1527490706,58
1527490709,58
1527490712,58
1527490715,58
1527490718,58
1527490721,58
1527490724,58
1527490727,58
1527490730,58
1527490733,58
1527490736,58
1527490739,64
1527490742,64
1527490745,64
1527490748,64
1527490751,64
1527490754,64
1527490757,64
1527490760,64
1527490763,64
1527490766,64
1527490769,64
1527490772,64
1527490775,64
1527490778,64
1527490781,64
1527490784,64
1527490787,64
1527490790,64
1527490793,64
1527490796,64
1527490799,70
1527490802,70
1527490805,70
1527490808,70
1527490811,70
1527490814,70
1527490817,70
1527490820,70
1527490823,70
1527490826,70
1527490829,70
1527490832,70
1527490835,70
1527490838,70
1527490841,70
1527490844,70
1527490847,70
1527490850,70
1527490853,70
1527490856,70
1527490859,76
1527490862,76
1527490865,76
1527490868,76
1527490871,76
1527490874,76
1527490877,76
1527490880,76
1527490883,76
1527490886,76
1527490889,76
1527490892,76
1527490895,76
1527490898,76
1527490901,76
1527490904,76
1527490907,76
1527490910,76
1527490913,76
1527490916,76
1527490919,82
1527490922,82
1527490925,82
1527490928,82
1527490931,82
1527490934,82
1527490937,82
1527490940,82
1527490943,82
1527490946,82
1527490949,82
1527490952,82
1527490955,82
1527490958,82
1527490961,82
1527490964,82
1527490967,82
1527490970,82
1527490973,82
1527490976,82
1527490979,88
1527490982,88
1527490985,88
1527490988,88
1527490991,88
1527490994,88
1527490997,88
1527491000,88
1527491003,88
1527491006,88
1527491009,88
1527491012,88
1527491015,88
1527491018,88
1527491021,88
1527491024,88
1527491027,88
1527491030,88
1527491033,88
1527491036,88
1527491039,94
1527491042,94
1527491045,94
1527491048,94
1527491051,94
1527491054,94
1527491057,94
1527491060,94
1527491063,94
1527491066,94
1527491069,94
1527491072,94
1527491075,94
1527491078,94
1527491081,94
1527491084,94
1527491087,94
1527491090,94
1527491093,94
1527491096,94
1527491099,100
1527491102,100
1527491105,100
1527491108,100
1527491111,100
1527491114,100
1527491117,100
1527491120,100
1527491123,100
1527491126,100
1527491129,100
1527491132,100
1527491135,100
1527491138,100
1527491141,100
1527491144,100
1527491147,100
1527491150,100
1527491153,100
1527491156,100
1527491159,106
1527491162,106
1527491165,106
1527491168,106
1527491171,106
1527491174,106
1527491177,106
1527491180,106
1527491183,106
1527491186,106
1527491189,106
1527491192,106
1527491195,106
1527491198,106
1527491201,106
1527491204,106
1527491207,106
1527491210,106
1527491213,106
1527491216,106
1527491219,112
1527491222,112
1527491225,112
1527491228,112
1527491231,112
1527491234,112
1527491237,112
1527491240,112
1527491243,112
1527491246,112
1527491249,112
1527491252,112
1527491255,112
1527491258,112
1527491261,112
1527491264,112
1527491267,112
1527491270,112
1527491273,112
1527491276,112
1527491279,118
1527491282,118
1527491285,118
1527491288,118
1527491291,118
1527491294,118
1527491297,118
1527491300,118
1527491303,118
1527491306,118
1527491309,118
1527491312,118
1527491315,118
1527491318,118
1527491321,118
1527491324,118
1527491327,118
1527491330,118
1527491333,118
1527491336,118
1527491339,124
1527491342,124
1527491345,124
1527491348,124
1527491351,124
1527491354,124
1527491357,124
1527491360,124
1527491363,124
1527491366,124
1527491369,124
1527491372,124
1527491375,124
1527491378,124
1527491381,124
1527491384,124
1527491387,124
1527491390,124
1527491393,124
1527491396,124
1527491399,130
1527491402,130
1527491405,130
1527491408,130
1527491411,130
1527491414,130
1527491417,130
1527491420,130
1527491423,130
1527491426,130
1527491429,130
1527491432,130
1527491435,130
1527491438,130
1527491441,130
1527491444,130
1527491447,130
1527491450,130
1527491453,130
1527491456,130
1527491459,136
1527491462,136
1527491465,136
1527491468,136
1527491471,136
1527491474,136
1527491477,136
1527491480,136
1527491483,136
1527491486,136
1527491489,136
1527491492,136
1527491495,136
1527491498,136
1527491501,136
1527491504,136
1527491507,136
1527491510,136
1527491513,136
1527491516,142
1527491519,142
1527491522,142
1527491525,142
1527491528,142
1527491531,142
1527491534,142
1527491537,142
1527491540,142
1527491543,142
1527491546,142
1527491549,142
1527491552,142
1527491555,142
1527491558,142
1527491561,142
1527491564,142
1527491567,142
1527491570,142
1527491573,142
1527491576,142
1527491579,148
1527491582,148
1527491585,148
1527491588,148
1527491591,148
1527491594,148
1527491597,148
1527491600,148
1527491603,148
1527491606,148
1527491609,148
1527491612,148
1527491615,148
1527491618,148
1527491621,148
1527491624,148
1527491627,148
1527491630,148
1527491633,148
1527491636,148
1527491639,154
1527491642,154
1527491645,154
1527491648,154
1527491651,154
1527491654,154
1527491657,154
1527491660,154
1527491663,154
1527491666,154
1527491669,154
1527491672,154
1527491675,154
1527491678,154
1527491681,154
1527491684,154
1527491687,154
1527491690,154
1527491693,154
1527491696,154
1527491699,160
1527491702,160
1527491705,160
1527491708,160
1527491711,160
1527491714,160
1527491717,160
1527491720,160
1527491723,160
1527491726,160
1527491729,160
1527491732,160
1527491735,160
1527491738,160
1527491741,160
1527491744,160
1527491747,160
1527491750,160
1527491753,160
1527491756,160
1527491759,166
1527491762,166
1527491765,166
1527491768,166
1527491771,166
1527491774,166
1527491777,166
1527491780,166
1527491783,166
1527491786,166
1527491789,166
1527491792,166
1527491795,166
1527491798,166
1527491801,166
1527491804,166
1527491807,166
1527491810,166
1527491813,166
1527491816,166
1527491819,172
1527491822,172
1527491825,172
1527491828,172
1527491831,172
1527491834,172
1527491837,172
1527491840,172
1527491843,172
1527491846,172
1527491849,172
1527491852,172
1527491855,172
1527491858,172
1527491861,172
1527491864,172
1527491867,172
1527491870,172
1527491873,172
1527491876,172
1527491879,178
1527491882,178
1527491885,178
1527491888,178
1527491891,178
1527491894,178
1527491897,178
1527491900,178
1527491903,178
1527491906,178
1527491909,178
1527491912,178
1527491915,178
1527491918,178
1527491921,178
1527491924,178
1527491927,178
1527491930,178
1527491933,178
1527491936,178
1527491939,184
1527491942,184
1527491945,184
1527491948,184
1527491951,184
1527491954,184
1527491957,184
1527491960,184
t,value
1527493552,35
1527493555,35
1527493558,35
1527493561,35
1527493564,35
1527493567,35
1527493570,35
1527493573,35
1527493576,35
1527493579,35
1527493582,35
1527493585,35
1527493588,35
1527493591,36
1527493594,36
1527493597,36
1527493600,36
1527493603,36
1527493606,36
1527493609,36
1527493612,43
1527493615,43
1527493618,43
1527493621,43
1527493624,43
1527493627,43
1527493630,43
1527493633,43
1527493636,43
1527493639,43
1527493642,43
1527493645,43
1527493648,43
1527493651,43
1527493654,43
1527493657,43
1527493660,43
1527493663,43
1527493666,43
1527493669,43
1527493672,50
1527493675,50
1527493678,50
1527493681,50
1527493684,50
1527493687,50
1527493690,50
1527493693,50
1527493696,50
1527493699,50
1527493702,50
1527493705,50
1527493708,50
1527493711,50
1527493714,50
1527493717,50
1527493720,50
1527493723,50
1527493726,50
1527493729,50
1527493732,57
1527493735,57
1527493738,57
1527493741,57
1527493744,57
1527493747,57
1527493750,57
1527493753,57
1527493756,57
1527493759,77
1527493762,80
1527493765,81
1527493768,81
1527493771,87
1527493774,87
1527493777,87
1527493780,87
1527493783,87
1527493786,87
1527493789,87
1527493792,101
