t,value
1527490619,3.370098039215686E-4
1527490622,3.370098039215686E-4
1527490625,3.370098039215686E-4
1527490628,3.52328431372549E-4
1527490631,3.52328431372549E-4
1527490634,3.52328431372549E-4
1527490637,3.52328431372549E-4
1527490640,3.52328431372549E-4
1527490643,3.52328431372549E-4
1527490646,3.52328431372549E-4
1527490649,3.52328431372549E-4
1527490652,3.52328431372549E-4
1527490655,3.52328431372549E-4
1527490658,3.52328431372549E-4
1527490661,3.52328431372549E-4
1527490664,3.52328431372549E-4
1527490667,3.52328431372549E-4
1527490670,3.52328431372549E-4
1527490673,3.52328431372549E-4
1527490676,3.52328431372549E-4
1527490679,3.52328431372549E-4
1527490682,3.52328431372549E-4
1527490685,3.52328431372549E-4
1527490688,3.52328431372549E-4
1527490691,3.52328431372549E-4
1527490694,3.52328431372549E-4
1527490697,3.52328431372549E-4
1527490700,3.52328431372549E-4
1527490703,3.52328431372549E-4
1527490706,3.52328431372549E-4
1527490709,3.52328431372549E-4
1527490712,3.52328431372549E-4
1527490715,3.52328431372549E-4
1527490718,3.52328431372549E-4
1527490721,3.52328431372549E-4
1527490724,3.52328431372549E-4
1527490727,3.52328431372549E-4
1527490730,3.52328431372549E-4
1527490733,3.52328431372549E-4
1527490736,3.52328431372549E-4
1527490739,3.52328431372549E-4
1527490742,3.52328431372549E-4
1527490745,3.52328431372549E-4
1527490748,3.52328431372549E-4
1527490751,3.52328431372549E-4
1527490754,3.52328431372549E-4
1527490757,3.52328431372549E-4
1527490760,3.52328431372549E-4
1527490763,3.52328431372549E-4
1527490766,3.52328431372549E-4
1527490769,3.52328431372549E-4
1527490772,3.52328431372549E-4
1527490775,3.52328431372549E-4
1527490778,3.52328431372549E-4
1527490781,3.52328431372549E-4
1527490784,3.52328431372549E-4
1527490787,3.52328431372549E-4
1527490790,3.52328431372549E-4
1527490793,3.52328431372549E-4
1527490796,3.52328431372549E-4
1527490799,3.52328431372549E-4
1527490802,3.52328431372549E-4
1527490805,3.52328431372549E-4
1527490808,3.52328431372549E-4
1527490811,3.52328431372549E-4
1527490814,3.52328431372549E-4
1527490817,3.52328431372549E-4
1527490820,3.52328431372549E-4
1527490823,3.52328431372549E-4
1527490826,3.52328431372549E-4
1527490829,3.52328431372549E-4
1527490832,3.52328431372549E-4
1527490835,3.52328431372549E-4
1527490838,3.52328431372549E-4
1527490841,3.52328431372549E-4
1527490844,3.52328431372549E-4
1527490847,3.52328431372549E-4
1527490850,3.52328431372549E-4
1527490853,3.52328431372549E-4
1527490856,3.52328431372549E-4
1527490859,3.52328431372549E-4
1527490862,3.52328431372549E-4
1527490865,3.52328431372549E-4
1527490868,3.52328431372549E-4
1527490871,3.52328431372549E-4
1527490874,3.52328431372549E-4
1527490877,3.52328431372549E-4
1527490880,3.52328431372549E-4
1527490883,3.52328431372549E-4
1527490886,3.52328431372549E-4
1527490889,3.52328431372549E-4
1527490892,3.52328431372549E-4
1527490895,3.52328431372549E-4
1527490898,3.52328431372549E-4
1527490901,3.52328431372549E-4
1527490904,3.52328431372549E-4
1527490907,3.52328431372549E-4
1527490910,3.52328431372549E-4
1527490913,3.52328431372549E-4
1527490916,3.52328431372549E-4
1527490919,3.52328431372549E-4
1527490922,3.52328431372549E-4
1527490925,3.52328431372549E-4
1527490928,3.52328431372549E-4
1527490931,3.52328431372549E-4
1527490934,3.52328431372549E-4
1527490937,3.52328431372549E-4
1527490940,3.52328431372549E-4
1527490943,3.52328431372549E-4
1527490946,3.52328431372549E-4
1527490949,3.52328431372549E-4
1527490952,3.52328431372549E-4
1527490955,3.52328431372549E-4
1527490958,3.52328431372549E-4
1527490961,3.52328431372549E-4
1527490964,3.52328431372549E-4
1527490967,3.52328431372549E-4
1527490970,3.52328431372549E-4
1527490973,3.52328431372549E-4
1527490976,3.52328431372549E-4
1527490979,3.52328431372549E-4
1527490982,3.52328431372549E-4
1527490985,3.52328431372549E-4
1527490988,3.52328431372549E-4
1527490991,3.52328431372549E-4
1527490994,3.52328431372549E-4
1527490997,3.52328431372549E-4
1527491000,3.52328431372549E-4
1527491003,3.52328431372549E-4
1527491006,3.52328431372549E-4
1527491009,3.52328431372549E-4
1527491012,3.52328431372549E-4
1527491015,3.52328431372549E-4
1527491018,3.52328431372549E-4
1527491021,3.52328431372549E-4
1527491024,3.52328431372549E-4
1527491027,3.52328431372549E-4
1527491030,3.52328431372549E-4
1527491033,3.52328431372549E-4
1527491036,3.52328431372549E-4
1527491039,3.52328431372549E-4
1527491042,3.52328431372549E-4
1527491045,3.52328431372549E-4
1527491048,3.52328431372549E-4
1527491051,3.52328431372549E-4
1527491054,3.52328431372549E-4
1527491057,3.52328431372549E-4
1527491060,3.52328431372549E-4
1527491063,3.52328431372549E-4
1527491066,3.52328431372549E-4
1527491069,3.52328431372549E-4
1527491072,3.52328431372549E-4
1527491075,3.52328431372549E-4
1527491078,3.52328431372549E-4
1527491081,3.52328431372549E-4
1527491084,3.52328431372549E-4
1527491087,3.52328431372549E-4
1527491090,3.52328431372549E-4
1527491093,3.52328431372549E-4
1527491096,3.52328431372549E-4
1527491099,3.52328431372549E-4
1527491102,3.52328431372549E-4
1527491105,3.52328431372549E-4
1527491108,3.52328431372549E-4
1527491111,3.52328431372549E-4
1527491114,3.52328431372549E-4
1527491117,3.52328431372549E-4
1527491120,3.52328431372549E-4
1527491123,3.52328431372549E-4
1527491126,3.52328431372549E-4
1527491129,3.52328431372549E-4
1527491132,3.52328431372549E-4
1527491135,3.52328431372549E-4
1527491138,3.52328431372549E-4
1527491141,3.52328431372549E-4
1527491144,3.52328431372549E-4
1527491147,3.52328431372549E-4
1527491150,3.52328431372549E-4
1527491153,3.52328431372549E-4
1527491156,3.52328431372549E-4
1527491159,3.52328431372549E-4
1527491162,3.52328431372549E-4
1527491165,3.52328431372549E-4
1527491168,3.52328431372549E-4
1527491171,3.52328431372549E-4
1527491174,3.52328431372549E-4
1527491177,3.52328431372549E-4
1527491180,3.52328431372549E-4
1527491183,3.52328431372549E-4
1527491186,3.52328431372549E-4
1527491189,3.52328431372549E-4
1527491192,3.52328431372549E-4
1527491195,3.52328431372549E-4
1527491198,3.52328431372549E-4
1527491201,3.52328431372549E-4
1527491204,3.52328431372549E-4
1527491207,3.52328431372549E-4
1527491210,3.52328431372549E-4
1527491213,3.52328431372549E-4
1527491216,3.52328431372549E-4
1527491219,3.52328431372549E-4
1527491222,3.52328431372549E-4
1527491225,3.52328431372549E-4
1527491228,3.52328431372549E-4
1527491231,3.52328431372549E-4
1527491234,3.52328431372549E-4
1527491237,3.52328431372549E-4
1527491240,3.52328431372549E-4
1527491243,3.52328431372549E-4
1527491246,3.52328431372549E-4
1527491249,3.52328431372549E-4
1527491252,3.52328431372549E-4
1527491255,3.52328431372549E-4
1527491258,3.52328431372549E-4
1527491261,3.52328431372549E-4
1527491264,3.52328431372549E-4
1527491267,3.52328431372549E-4
1527491270,3.52328431372549E-4
1527491273,3.52328431372549E-4
1527491276,3.52328431372549E-4
1527491279,3.52328431372549E-4
1527491282,3.52328431372549E-4
1527491285,3.52328431372549E-4
1527491288,3.52328431372549E-4
1527491291,3.52328431372549E-4
1527491294,3.52328431372549E-4
1527491297,3.52328431372549E-4
1527491300,3.52328431372549E-4
1527491303,3.52328431372549E-4
1527491306,3.52328431372549E-4
1527491309,3.52328431372549E-4
1527491312,3.52328431372549E-4
1527491315,3.52328431372549E-4
1527491318,3.52328431372549E-4
1527491321,3.52328431372549E-4
1527491324,3.52328431372549E-4
1527491327,3.52328431372549E-4
1527491330,3.52328431372549E-4
1527491333,3.52328431372549E-4
1527491336,3.52328431372549E-4
1527491339,3.52328431372549E-4
1527491342,3.52328431372549E-4
1527491345,3.52328431372549E-4
1527491348,3.52328431372549E-4
1527491351,3.52328431372549E-4
1527491354,3.52328431372549E-4
1527491357,3.52328431372549E-4
1527491360,3.52328431372549E-4
1527491363,3.52328431372549E-4
1527491366,3.52328431372549E-4
1527491369,3.52328431372549E-4
1527491372,3.52328431372549E-4
1527491375,3.52328431372549E-4
1527491378,3.52328431372549E-4
1527491381,3.52328431372549E-4
1527491384,3.52328431372549E-4
1527491387,3.52328431372549E-4
1527491390,3.52328431372549E-4
1527491393,3.52328431372549E-4
1527491396,3.52328431372549E-4
1527491399,3.52328431372549E-4
1527491402,3.52328431372549E-4
1527491405,3.52328431372549E-4
1527491408,3.52328431372549E-4
1527491411,3.52328431372549E-4
1527491414,3.52328431372549E-4
1527491417,3.52328431372549E-4
1527491420,3.52328431372549E-4
1527491423,3.52328431372549E-4
1527491426,3.52328431372549E-4
1527491429,3.52328431372549E-4
1527491432,3.52328431372549E-4
1527491435,3.52328431372549E-4
1527491438,3.52328431372549E-4
1527491441,3.52328431372549E-4
1527491444,3.52328431372549E-4
1527491447,3.52328431372549E-4
1527491450,3.52328431372549E-4
1527491453,3.52328431372549E-4
1527491456,3.52328431372549E-4
1527491459,3.52328431372549E-4
1527491462,3.52328431372549E-4
1527491465,3.52328431372549E-4
1527491468,3.52328431372549E-4
1527491471,3.52328431372549E-4
1527491474,3.52328431372549E-4
1527491477,3.52328431372549E-4
1527491480,3.52328431372549E-4
1527491483,3.52328431372549E-4
