t,value
1527490619,-1
1527490622,-1
1527490625,-1
1527490628,-1
1527490631,13
1527490634,15
1527490637,15
1527490640,15
1527490643,15
1527490646,15
1527490649,15
1527490652,15
1527490655,15
1527490658,15
1527490661,15
1527490664,15
1527490667,15
1527490670,15
1527490673,15
1527490676,15
1527490679,15
1527490682,15
1527490685,15
1527490688,15
1527490691,15
1527490694,14
1527490697,14
1527490700,14
1527490703,14
1527490706,14
1527490709,14
1527490712,14
1527490715,14
1527490718,14
1527490721,14
1527490724,14
1527490727,14
1527490730,14
1527490733,14
1527490736,14
1527490739,14
1527490742,14
1527490745,14
1527490748,14
1527490751,14
1527490754,13
1527490757,13
1527490760,13
1527490763,13
1527490766,13
1527490769,13
1527490772,13
1527490775,13
1527490778,13
1527490781,13
1527490784,13
1527490787,13
1527490790,13
1527490793,13
1527490796,13
1527490799,13
1527490802,13
1527490805,13
1527490808,13
1527490811,13
1527490814,12
1527490817,12
1527490820,12
1527490823,12
1527490826,12
1527490829,12
1527490832,12
1527490835,12
1527490838,12
1527490841,12
1527490844,12
1527490847,12
1527490850,12
1527490853,12
1527490856,12
1527490859,12
1527490862,12
1527490865,12
1527490868,12
1527490871,12
1527490874,12
1527490877,18
1527490880,18
1527490883,18
1527490886,18
1527490889,18
1527490892,18
1527490895,18
1527490898,18
1527490901,18
1527490904,18
1527490907,18
1527490910,18
1527490913,18
1527490916,18
1527490919,18
1527490922,18
1527490925,18
1527490928,18
1527490931,18
1527490934,18
1527490937,18
1527490940,17
1527490943,17
1527490946,17
1527490949,17
1527490952,17
1527490955,17
1527490958,17
1527490961,17
1527490964,17
1527490967,17
1527490970,17
1527490973,17
1527490976,17
1527490979,17
1527490982,17
1527490985,17
1527490988,17
1527490991,17
1527490994,17
1527490997,17
1527491000,16
1527491003,16
1527491006,16
1527491009,16
1527491012,16
1527491015,16
1527491018,16
1527491021,16
1527491024,16
1527491027,16
1527491030,16
1527491033,16
1527491036,16
1527491039,16
1527491042,16
1527491045,16
1527491048,16
1527491051,16
1527491054,16
1527491057,16
1527491060,15
1527491063,15
1527491066,15
1527491069,15
1527491072,15
1527491075,15
1527491078,15
1527491081,15
1527491084,15
1527491087,15
1527491090,15
1527491093,15
1527491096,15
1527491099,15
1527491102,15
1527491105,15
1527491108,15
1527491111,15
1527491114,15
1527491117,15
1527491120,14
1527491123,14
1527491126,14
1527491129,14
1527491132,14
1527491135,14
1527491138,14
1527491141,14
1527491144,14
1527491147,14
1527491150,14
1527491153,14
1527491156,14
1527491159,14
1527491162,14
1527491165,14
1527491168,14
1527491171,14
1527491174,14
1527491177,14
1527491180,13
1527491183,13
1527491186,13
1527491189,13
1527491192,13
1527491195,13
1527491198,13
1527491201,13
1527491204,13
1527491207,13
1527491210,13
1527491213,13
1527491216,13
1527491219,13
1527491222,13
1527491225,13
1527491228,13
1527491231,13
1527491234,13
1527491237,13
1527491240,12
1527491243,12
1527491246,12
1527491249,12
1527491252,12
1527491255,12
1527491258,12
1527491261,12
1527491264,12
1527491267,12
1527491270,12
1527491273,12
1527491276,12
1527491279,12
1527491282,12
1527491285,12
1527491288,12
1527491291,12
1527491294,12
1527491297,12
1527491300,12
1527491303,12
1527491306,12
1527491309,12
1527491312,12
1527491315,12
1527491318,12
1527491321,12
1527491324,12
1527491327,12
1527491330,12
1527491333,12
1527491336,12
1527491339,12
1527491342,12
1527491345,12
1527491348,12
1527491351,12
1527491354,12
1527491357,12
1527491360,12
1527491363,12
1527491366,12
1527491369,12
1527491372,12
1527491375,12
1527491378,12
1527491381,12
1527491384,12
1527491387,12
1527491390,12
1527491393,12
1527491396,12
1527491399,12
1527491402,12
1527491405,12
1527491408,12
1527491411,12
1527491414,12
1527491417,12
1527491420,12
1527491423,12
1527491426,12
1527491429,12
1527491432,12
1527491435,12
1527491438,12
1527491441,12
1527491444,12
1527491447,12
1527491450,12
1527491453,12
1527491456,12
1527491459,12
1527491462,12
1527491465,12
1527491468,12
1527491471,12
1527491474,12
1527491477,12
1527491480,12
1527491483,12
1527491486,12
1527491489,12
1527491492,12
1527491495,12
1527491498,12
1527491501,12
1527491504,12
1527491507,12
1527491510,12
1527491513,12
1527491516,12
1527491519,12
1527491522,12
1527491525,12
1527491528,12
1527491531,12
1527491534,12
1527491537,12
1527491540,12
1527491543,12
1527491546,12
1527491549,12
1527491552,12
1527491555,12
1527491558,12
1527491561,12
1527491564,12
1527491567,12
1527491570,12
1527491573,12
1527491576,12
1527491579,12
1527491582,12
1527491585,12
1527491588,12
1527491591,12
1527491594,12
1527491597,12
1527491600,12
1527491603,12
1527491606,12
1527491609,12
1527491612,12
1527491615,12
1527491618,12
1527491621,12
1527491624,12
1527491627,12
1527491630,12
1527491633,12
1527491636,12
1527491639,12
1527491642,12
1527491645,12
1527491648,12
1527491651,12
1527491654,12
1527491657,12
1527491660,12
1527491663,12
1527491666,12
1527491669,12
1527491672,12
1527491675,12
1527491678,12
1527491681,12
1527491684,12
1527491687,12
1527491690,12
1527491693,12
1527491696,12
1527491699,12
1527491702,12
1527491705,12
1527491708,12
1527491711,12
1527491714,12
1527491717,12
1527491720,12
1527491723,12
1527491726,12
1527491729,12
1527491732,12
1527491735,12
1527491738,12
1527491741,12
1527491744,12
1527491747,12
1527491750,12
1527491753,12
1527491756,12
1527491759,12
1527491762,12
1527491765,12
1527491768,12
1527491771,12
1527491774,12
1527491777,12
1527491780,12
1527491783,12
1527491786,12
1527491789,12
1527491792,12
1527491795,12
1527491798,12
1527491801,12
1527491804,12
1527491807,12
1527491810,12
1527491813,12
1527491816,12
1527491819,12
1527491822,12
1527491825,12
1527491828,12
1527491831,12
1527491834,12
1527491837,12
1527491840,12
1527491843,12
1527491846,12
1527491849,12
1527491852,12
1527491855,12
1527491858,12
1527491861,12
1527491864,12
1527491867,12
1527491870,12
1527491873,12
1527491876,12
1527491879,12
1527491882,12
1527491885,12
1527491888,12
1527491891,12
1527491894,12
1527491897,12
1527491900,12
1527491903,12
1527491906,12
1527491909,12
1527491912,12
1527491915,12
1527491918,12
1527491921,12
1527491924,12
1527491927,12
1527491930,12
1527491933,12
1527491936,12
1527491939,12
1527491942,12
1527491945,12
1527491948,12
1527491951,12
1527491954,12
1527491957,12
1527491960,12
t,value
1527493552,-1
1527493555,-1
1527493558,-1
1527493561,-1
1527493564,-1
1527493567,-1
1527493570,-1
1527493573,-1
1527493576,-1
1527493579,-1
1527493582,-1
1527493585,-1
1527493588,-1
1527493591,-1
1527493594,-1
1527493597,0
1527493600,12
1527493603,16
1527493606,16
1527493609,16
1527493612,16
1527493615,16
1527493618,16
1527493621,16
1527493624,16
1527493627,16
1527493630,16
