t,value
1527490619,-1
1527490622,-1
1527490625,-1
1527490628,-1
1527490631,1
1527490634,1
1527490637,1
1527490640,1
1527490643,1
1527490646,1
1527490649,1
1527490652,1
1527490655,1
1527490658,1
1527490661,1
1527490664,1
1527490667,1
1527490670,1
1527490673,1
1527490676,1
1527490679,1
1527490682,1
1527490685,1
1527490688,1
1527490691,1
1527490694,2
1527490697,2
1527490700,2
1527490703,2
1527490706,2
1527490709,2
1527490712,2
1527490715,2
1527490718,2
1527490721,2
1527490724,2
1527490727,2
1527490730,2
1527490733,2
1527490736,2
1527490739,2
1527490742,2
1527490745,2
1527490748,2
1527490751,2
1527490754,3
1527490757,3
1527490760,3
1527490763,3
1527490766,3
1527490769,3
1527490772,3
1527490775,3
1527490778,3
1527490781,3
1527490784,3
1527490787,3
1527490790,3
1527490793,3
1527490796,3
1527490799,3
1527490802,3
1527490805,3
1527490808,3
1527490811,3
1527490814,2
1527490817,2
1527490820,2
1527490823,2
1527490826,2
1527490829,2
1527490832,2
1527490835,2
1527490838,2
1527490841,2
1527490844,2
1527490847,2
1527490850,2
1527490853,2
1527490856,2
1527490859,2
1527490862,2
1527490865,2
1527490868,2
1527490871,2
1527490874,2
1527490877,6
1527490880,6
1527490883,6
1527490886,6
1527490889,6
1527490892,6
1527490895,6
1527490898,6
1527490901,6
1527490904,6
1527490907,6
1527490910,6
1527490913,6
1527490916,6
1527490919,6
1527490922,6
1527490925,6
1527490928,6
1527490931,6
1527490934,6
1527490937,6
1527490940,5
1527490943,5
1527490946,5
1527490949,5
1527490952,5
1527490955,5
1527490958,5
1527490961,5
1527490964,5
1527490967,5
1527490970,5
1527490973,5
1527490976,5
1527490979,5
1527490982,5
1527490985,5
1527490988,5
1527490991,5
1527490994,5
1527490997,5
1527491000,6
1527491003,6
1527491006,6
1527491009,6
1527491012,6
1527491015,6
1527491018,6
1527491021,6
1527491024,6
1527491027,6
1527491030,6
1527491033,6
1527491036,6
1527491039,6
1527491042,6
1527491045,6
1527491048,6
1527491051,6
1527491054,6
1527491057,6
1527491060,5
1527491063,5
1527491066,5
1527491069,5
1527491072,5
1527491075,5
1527491078,5
1527491081,5
1527491084,5
1527491087,5
1527491090,5
1527491093,5
1527491096,5
1527491099,5
1527491102,5
1527491105,5
1527491108,5
1527491111,5
1527491114,5
1527491117,5
1527491120,4
1527491123,4
1527491126,4
1527491129,4
1527491132,4
1527491135,4
1527491138,4
1527491141,4
1527491144,4
1527491147,4
1527491150,4
1527491153,4
1527491156,4
1527491159,4
1527491162,4
1527491165,4
1527491168,4
1527491171,4
1527491174,4
1527491177,4
1527491180,3
1527491183,3
1527491186,3
1527491189,3
1527491192,3
1527491195,3
1527491198,3
1527491201,3
1527491204,3
1527491207,3
1527491210,3
1527491213,3
1527491216,3
1527491219,3
1527491222,3
1527491225,3
1527491228,3
1527491231,3
1527491234,3
1527491237,3
1527491240,2
1527491243,2
1527491246,2
1527491249,2
1527491252,2
1527491255,2
1527491258,2
1527491261,2
1527491264,2
1527491267,2
1527491270,2
1527491273,2
1527491276,2
1527491279,2
1527491282,2
1527491285,2
1527491288,2
1527491291,2
1527491294,2
1527491297,2
1527491300,2
1527491303,2
1527491306,2
1527491309,2
1527491312,2
1527491315,2
1527491318,2
1527491321,2
1527491324,2
1527491327,2
1527491330,2
1527491333,2
1527491336,2
1527491339,2
1527491342,2
1527491345,2
1527491348,2
1527491351,2
1527491354,2
1527491357,2
1527491360,2
1527491363,2
1527491366,2
1527491369,2
1527491372,2
1527491375,2
1527491378,2
1527491381,2
1527491384,2
1527491387,2
1527491390,2
1527491393,2
1527491396,2
1527491399,2
1527491402,2
1527491405,2
1527491408,2
1527491411,2
1527491414,2
1527491417,2
1527491420,2
1527491423,2
1527491426,2
1527491429,2
1527491432,2
1527491435,2
1527491438,2
1527491441,2
1527491444,2
1527491447,2
1527491450,2
1527491453,2
1527491456,2
1527491459,2
1527491462,2
1527491465,2
1527491468,2
1527491471,2
1527491474,2
1527491477,2
1527491480,2
1527491483,2
1527491486,2
1527491489,2
1527491492,2
1527491495,2
1527491498,2
1527491501,2
1527491504,2
1527491507,2
1527491510,2
1527491513,2
1527491516,2
1527491519,2
1527491522,2
1527491525,2
1527491528,2
1527491531,2
1527491534,2
1527491537,2
1527491540,2
1527491543,2
1527491546,2
1527491549,2
1527491552,2
1527491555,2
1527491558,2
1527491561,2
1527491564,2
1527491567,2
1527491570,2
1527491573,2
1527491576,2
1527491579,2
1527491582,2
1527491585,2
1527491588,2
1527491591,2
1527491594,2
1527491597,2
1527491600,2
1527491603,2
1527491606,2
1527491609,2
1527491612,2
1527491615,2
1527491618,2
1527491621,2
1527491624,2
1527491627,2
1527491630,2
1527491633,2
1527491636,2
1527491639,2
1527491642,2
1527491645,2
1527491648,2
1527491651,2
1527491654,2
1527491657,2
1527491660,2
1527491663,2
1527491666,2
1527491669,2
1527491672,2
1527491675,2
1527491678,2
1527491681,2
1527491684,2
1527491687,2
1527491690,2
1527491693,2
1527491696,2
1527491699,2
1527491702,2
1527491705,2
1527491708,2
1527491711,2
1527491714,2
1527491717,2
1527491720,2
1527491723,2
1527491726,2
1527491729,2
1527491732,2
1527491735,2
1527491738,2
1527491741,2
1527491744,2
1527491747,2
1527491750,2
1527491753,2
1527491756,2
1527491759,2
1527491762,2
1527491765,2
1527491768,2
1527491771,2
1527491774,2
1527491777,2
1527491780,2
1527491783,2
1527491786,2
1527491789,2
1527491792,2
1527491795,2
1527491798,2
1527491801,2
1527491804,2
1527491807,2
1527491810,2
1527491813,2
1527491816,2
1527491819,2
1527491822,2
1527491825,2
1527491828,2
1527491831,2
1527491834,2
1527491837,2
1527491840,2
1527491843,2
1527491846,2
1527491849,2
1527491852,2
1527491855,2
1527491858,2
1527491861,2
1527491864,2
1527491867,2
1527491870,2
1527491873,2
1527491876,2
1527491879,2
1527491882,2
1527491885,2
1527491888,2
1527491891,2
1527491894,2
1527491897,2
1527491900,2
1527491903,2
1527491906,2
1527491909,2
1527491912,2
1527491915,2
1527491918,2
1527491921,2
1527491924,2
1527491927,2
1527491930,2
1527491933,2
1527491936,2
1527491939,2
1527491942,2
1527491945,2
1527491948,2
1527491951,2
1527491954,2
1527491957,2
1527491960,2
t,value
1527493552,-1
1527493555,-1
1527493558,-1
1527493561,-1
1527493564,-1
1527493567,-1
1527493570,-1
1527493573,-1
1527493576,-1
1527493579,-1
1527493582,-1
1527493585,-1
1527493588,-1
1527493591,-1
1527493594,-1
1527493597,0
1527493600,12
1527493603,2
1527493606,2
1527493609,2
1527493612,2
1527493615,2
1527493618,2
1527493621,2
1527493624,2
1527493627,2
1527493630,2
