t,value
1527490619,1
1527490622,1
1527490625,1
1527490628,0
1527490631,0
1527490634,0
1527490637,0
1527490640,0
1527490643,0
1527490646,0
1527490649,0
1527490652,0
1527490655,0
1527490658,0
1527490661,0
1527490664,0
1527490667,0
1527490670,0
1527490673,0
1527490676,0
1527490679,0
1527490682,0
1527490685,0
1527490688,0
1527490691,0
1527490694,0
1527490697,0
1527490700,0
1527490703,0
1527490706,0
1527490709,0
1527490712,0
1527490715,0
1527490718,0
1527490721,0
1527490724,0
1527490727,0
1527490730,0
1527490733,0
1527490736,0
1527490739,0
1527490742,0
1527490745,0
1527490748,0
1527490751,0
1527490754,0
1527490757,0
1527490760,0
1527490763,0
1527490766,0
1527490769,0
1527490772,0
1527490775,0
1527490778,0
1527490781,0
1527490784,0
1527490787,0
1527490790,0
1527490793,0
1527490796,0
1527490799,0
1527490802,0
1527490805,0
1527490808,0
1527490811,0
1527490814,0
1527490817,0
1527490820,0
1527490823,0
1527490826,0
1527490829,0
1527490832,0
1527490835,0
1527490838,0
1527490841,0
1527490844,0
1527490847,0
1527490850,0
1527490853,0
1527490856,0
1527490859,0
1527490862,0
1527490865,0
1527490868,0
1527490871,0
1527490874,0
1527490877,0
1527490880,1
1527490883,1
1527490886,0
1527490889,0
1527490892,0
1527490895,0
1527490898,0
1527490901,1
1527490904,0
1527490907,0
1527490910,0
1527490913,0
1527490916,0
1527490919,0
1527490922,0
1527490925,0
1527490928,0
1527490931,0
1527490934,0
1527490937,0
1527490940,0
1527490943,0
1527490946,0
1527490949,0
1527490952,0
1527490955,0
1527490958,0
1527490961,0
1527490964,0
1527490967,0
1527490970,0
1527490973,0
1527490976,0
1527490979,0
1527490982,0
1527490985,0
1527490988,0
1527490991,0
1527490994,0
1527490997,0
1527491000,0
1527491003,0
1527491006,0
1527491009,0
1527491012,0
1527491015,0
1527491018,0
1527491021,0
1527491024,0
1527491027,0
1527491030,0
1527491033,0
1527491036,0
1527491039,0
1527491042,0
1527491045,0
1527491048,0
1527491051,0
1527491054,0
1527491057,0
1527491060,0
1527491063,0
1527491066,0
1527491069,0
1527491072,0
1527491075,0
1527491078,0
1527491081,0
1527491084,0
1527491087,0
1527491090,0
1527491093,0
1527491096,0
1527491099,0
1527491102,0
1527491105,0
1527491108,0
1527491111,0
1527491114,0
1527491117,0
1527491120,0
1527491123,0
1527491126,0
1527491129,0
1527491132,0
1527491135,0
1527491138,0
1527491141,0
1527491144,0
1527491147,0
1527491150,0
1527491153,0
1527491156,0
1527491159,0
1527491162,0
1527491165,0
1527491168,0
1527491171,0
1527491174,0
1527491177,0
1527491180,0
1527491183,0
1527491186,0
1527491189,0
1527491192,0
1527491195,0
1527491198,0
1527491201,0
1527491204,0
1527491207,0
1527491210,0
1527491213,0
1527491216,0
1527491219,0
1527491222,0
1527491225,0
1527491228,0
1527491231,0
1527491234,0
1527491237,0
1527491240,0
1527491243,0
1527491246,0
1527491249,0
1527491252,0
1527491255,0
1527491258,0
1527491261,0
1527491264,0
1527491267,0
1527491270,0
1527491273,0
1527491276,0
1527491279,0
1527491282,0
1527491285,0
1527491288,0
1527491291,0
1527491294,0
1527491297,0
1527491300,0
1527491303,0
1527491306,0
1527491309,0
1527491312,0
1527491315,0
1527491318,0
1527491321,0
1527491324,0
1527491327,0
1527491330,0
1527491333,0
1527491336,0
1527491339,0
1527491342,0
1527491345,0
1527491348,0
1527491351,0
1527491354,0
1527491357,0
1527491360,0
1527491363,0
1527491366,0
1527491369,0
1527491372,0
1527491375,0
1527491378,0
1527491381,0
1527491384,0
1527491387,0
1527491390,0
1527491393,0
1527491396,0
1527491399,0
1527491402,0
1527491405,0
1527491408,0
1527491411,0
1527491414,0
1527491417,0
1527491420,0
1527491423,0
1527491426,0
1527491429,0
1527491432,0
1527491435,0
1527491438,0
1527491441,0
1527491444,0
1527491447,0
1527491450,0
1527491453,0
1527491456,0
1527491459,0
1527491462,0
1527491465,0
1527491468,0
1527491471,0
1527491474,0
1527491477,0
1527491480,0
1527491483,0
1527491486,0
1527491489,0
1527491492,0
1527491495,0
1527491498,0
1527491501,0
1527491504,0
1527491507,0
1527491510,0
1527491513,0
1527491516,0
1527491519,0
1527491522,0
1527491525,0
1527491528,0
1527491531,0
1527491534,0
1527491537,0
1527491540,0
1527491543,0
1527491546,0
1527491549,0
1527491552,0
1527491555,0
1527491558,0
1527491561,0
1527491564,0
1527491567,0
1527491570,0
1527491573,0
1527491576,0
1527491579,0
1527491582,0
1527491585,0
1527491588,0
1527491591,0
1527491594,0
1527491597,0
1527491600,0
1527491603,0
1527491606,0
1527491609,0
1527491612,0
1527491615,0
1527491618,0
1527491621,0
1527491624,0
1527491627,0
1527491630,0
1527491633,0
1527491636,0
1527491639,0
1527491642,0
1527491645,0
1527491648,0
1527491651,0
1527491654,0
1527491657,0
1527491660,0
1527491663,0
1527491666,0
1527491669,0
1527491672,0
1527491675,0
1527491678,0
1527491681,0
1527491684,0
1527491687,0
1527491690,0
1527491693,0
1527491696,0
1527491699,0
1527491702,0
1527491705,0
1527491708,0
1527491711,0
1527491714,0
1527491717,0
1527491720,0
1527491723,0
1527491726,0
1527491729,0
1527491732,0
1527491735,0
1527491738,0
1527491741,0
1527491744,0
1527491747,0
1527491750,0
1527491753,0
1527491756,0
1527491759,0
1527491762,0
1527491765,0
1527491768,0
1527491771,0
1527491774,0
1527491777,0
1527491780,0
1527491783,0
1527491786,0
1527491789,0
1527491792,0
1527491795,0
1527491798,0
1527491801,0
1527491804,0
1527491807,0
1527491810,0
1527491813,0
1527491816,0
1527491819,0
1527491822,0
1527491825,0
1527491828,0
1527491831,0
1527491834,0
1527491837,0
1527491840,0
1527491843,0
1527491846,0
1527491849,0
1527491852,0
1527491855,0
1527491858,0
1527491861,0
1527491864,0
1527491867,0
1527491870,0
1527491873,0
1527491876,0
1527491879,0
1527491882,0
1527491885,0
1527491888,0
1527491891,0
1527491894,0
1527491897,0
1527491900,0
1527491903,0
1527491906,0
1527491909,0
1527491912,0
1527491915,0
1527491918,0
1527491921,0
1527491924,0
1527491927,0
1527491930,0
1527491933,0
1527491936,0
1527491939,0
1527491942,0
1527491945,0
1527491948,0
1527491951,0
1527491954,0
1527491957,0
1527491960,0
t,value
1527493552,1
1527493555,1
1527493558,1
1527493561,1
1527493564,1
1527493567,1
1527493570,1
1527493573,1
1527493576,1
1527493579,1
1527493582,1
1527493585,1
1527493588,1
1527493591,1
1527493594,0
1527493597,0
1527493600,0
1527493603,0
1527493606,1
1527493609,1
1527493612,4
1527493615,0
1527493618,0
1527493621,0
1527493624,0
1527493627,0
1527493630,0
1527493633,0
1527493636,0
1527493639,0
