t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,2
1527490631,2
1527490634,3
1527490637,3
1527490640,3
1527490643,3
1527490646,3
1527490649,3
1527490652,3
1527490655,3
1527490658,3
1527490661,3
1527490664,3
1527490667,3
1527490670,3
1527490673,3
1527490676,3
1527490679,3
1527490682,3
1527490685,3
1527490688,3
1527490691,3
1527490694,3
1527490697,3
1527490700,3
1527490703,3
1527490706,3
1527490709,3
1527490712,3
1527490715,3
1527490718,3
1527490721,3
1527490724,3
1527490727,3
1527490730,3
1527490733,3
1527490736,3
1527490739,3
1527490742,3
1527490745,3
1527490748,3
1527490751,3
1527490754,3
1527490757,3
1527490760,3
1527490763,3
1527490766,3
1527490769,3
1527490772,3
1527490775,3
1527490778,3
1527490781,3
1527490784,3
1527490787,3
1527490790,3
1527490793,3
1527490796,3
1527490799,3
1527490802,3
1527490805,3
1527490808,3
1527490811,3
1527490814,3
1527490817,3
1527490820,3
1527490823,3
1527490826,3
1527490829,3
1527490832,3
1527490835,3
1527490838,3
1527490841,3
1527490844,3
1527490847,3
1527490850,3
1527490853,3
1527490856,3
1527490859,3
1527490862,3
1527490865,3
1527490868,3
1527490871,3
1527490874,3
1527490877,3
1527490880,3
1527490883,10
1527490886,12
1527490889,14
1527490892,14
1527490895,14
1527490898,14
1527490901,17
1527490904,19
1527490907,19
1527490910,19
1527490913,19
1527490916,19
1527490919,19
1527490922,24
1527490925,24
1527490928,24
1527490931,24
1527490934,24
1527490937,24
1527490940,24
1527490943,29
1527490946,29
1527490949,29
1527490952,29
1527490955,29
1527490958,29
1527490961,29
1527490964,34
1527490967,34
1527490970,34
1527490973,34
1527490976,34
1527490979,34
1527490982,34
1527490985,34
1527490988,34
1527490991,34
1527490994,34
1527490997,34
1527491000,34
1527491003,34
1527491006,34
1527491009,34
1527491012,34
1527491015,34
1527491018,34
1527491021,34
1527491024,34
1527491027,34
1527491030,34
1527491033,34
1527491036,34
1527491039,34
1527491042,34
1527491045,34
1527491048,34
1527491051,34
1527491054,34
1527491057,34
1527491060,34
1527491063,34
1527491066,34
1527491069,34
1527491072,34
1527491075,34
1527491078,34
1527491081,34
1527491084,34
1527491087,34
1527491090,34
1527491093,34
1527491096,34
1527491099,34
1527491102,34
1527491105,34
1527491108,34
1527491111,34
1527491114,34
1527491117,34
1527491120,34
1527491123,34
1527491126,34
1527491129,34
1527491132,34
1527491135,34
1527491138,34
1527491141,34
1527491144,34
1527491147,34
