t,value
1527490619,1
1527490622,1
1527490625,1
1527490628,1
1527490631,1
1527490634,1
1527490637,1
1527490640,1
1527490643,1
1527490646,1
1527490649,1
1527490652,1
1527490655,1
1527490658,1
1527490661,1
1527490664,1
1527490667,1
1527490670,1
1527490673,1
1527490676,1
1527490679,1
1527490682,1
1527490685,1
1527490688,1
1527490691,1
1527490694,1
1527490697,1
1527490700,1
1527490703,1
1527490706,1
1527490709,1
1527490712,1
1527490715,1
1527490718,1
1527490721,1
1527490724,1
1527490727,1
1527490730,1
1527490733,1
1527490736,1
1527490739,1
1527490742,1
1527490745,1
1527490748,1
1527490751,1
1527490754,1
1527490757,1
1527490760,1
1527490763,1
1527490766,1
1527490769,1
1527490772,1
1527490775,1
1527490778,1
1527490781,1
1527490784,1
1527490787,1
1527490790,1
1527490793,1
1527490796,1
1527490799,1
1527490802,1
1527490805,1
1527490808,1
1527490811,1
1527490814,1
1527490817,1
1527490820,1
1527490823,1
1527490826,1
1527490829,1
1527490832,1
1527490835,1
1527490838,1
1527490841,1
1527490844,1
1527490847,1
1527490850,1
1527490853,1
1527490856,1
1527490859,1
1527490862,1
1527490865,1
1527490868,1
1527490871,1
1527490874,1
1527490877,1
1527490880,1
1527490883,1
1527490886,1
1527490889,1
1527490892,1
1527490895,1
1527490898,1
1527490901,1
1527490904,1
1527490907,1
1527490910,1
1527490913,1
1527490916,1
1527490919,1
1527490922,1
1527490925,1
1527490928,1
1527490931,1
1527490934,1
1527490937,1
1527490940,1
1527490943,1
1527490946,1
1527490949,1
1527490952,1
1527490955,1
1527490958,1
1527490961,1
1527490964,1
1527490967,1
1527490970,1
1527490973,1
1527490976,1
1527490979,1
1527490982,1
1527490985,1
1527490988,1
1527490991,1
1527490994,1
1527490997,1
1527491000,1
1527491003,1
1527491006,1
1527491009,1
1527491012,1
1527491015,1
1527491018,1
1527491021,1
1527491024,1
1527491027,1
1527491030,1
1527491033,1
1527491036,1
1527491039,1
1527491042,1
1527491045,1
1527491048,1
1527491051,1
1527491054,1
1527491057,1
1527491060,1
1527491063,1
1527491066,1
1527491069,1
1527491072,1
1527491075,1
1527491078,1
1527491081,1
1527491084,1
1527491087,1
1527491090,1
1527491093,1
1527491096,1
1527491099,1
1527491102,1
1527491105,1
1527491108,1
1527491111,1
1527491114,1
1527491117,1
1527491120,1
1527491123,1
1527491126,1
1527491129,1
1527491132,1
1527491135,1
1527491138,1
1527491141,1
1527491144,1
1527491147,1
1527491150,1
1527491153,1
1527491156,1
1527491159,1
1527491162,1
1527491165,1
1527491168,1
1527491171,1
1527491174,1
1527491177,1
1527491180,1
1527491183,1
1527491186,1
1527491189,1
1527491192,1
1527491195,1
1527491198,1
1527491201,1
1527491204,1
1527491207,1
1527491210,1
1527491213,1
1527491216,1
1527491219,1
1527491222,1
1527491225,1
1527491228,1
1527491231,1
1527491234,1
1527491237,1
1527491240,1
1527491243,1
1527491246,1
1527491249,1
1527491252,1
1527491255,1
1527491258,1
1527491261,1
1527491264,1
1527491267,1
1527491270,1
1527491273,1
1527491276,1
1527491279,1
1527491282,1
1527491285,1
1527491288,1
1527491291,1
1527491294,1
1527491297,1
1527491300,1
1527491303,1
1527491306,1
1527491309,1
1527491312,1
1527491315,1
1527491318,1
1527491321,1
1527491324,1
1527491327,1
1527491330,1
1527491333,1
1527491336,1
1527491339,1
1527491342,1
1527491345,1
1527491348,1
1527491351,1
1527491354,1
1527491357,1
1527491360,1
1527491363,1
1527491366,1
1527491369,1
1527491372,1
1527491375,1
1527491378,1
1527491381,1
1527491384,1
1527491387,1
1527491390,1
1527491393,1
1527491396,1
1527491399,1
1527491402,1
1527491405,1
1527491408,1
1527491411,1
1527491414,1
1527491417,1
1527491420,1
1527491423,1
1527491426,1
1527491429,1
1527491432,1
1527491435,1
1527491438,1
1527491441,1
1527491444,1
1527491447,1
1527491450,1
1527491453,1
1527491456,1
1527491459,1
1527491462,1
1527491465,1
1527491468,1
1527491471,1
1527491474,1
1527491477,1
1527491480,1
1527491483,1
1527491486,1
1527491489,1
1527491492,1
1527491495,1
1527491498,1
1527491501,1
1527491504,1
1527491507,1
1527491510,1
1527491513,1
1527491516,1
1527491519,1
1527491522,1
1527491525,1
1527491528,1
1527491531,1
1527491534,1
1527491537,1
1527491540,1
1527491543,1
1527491546,1
1527491549,1
1527491552,1
1527491555,1
1527491558,1
1527491561,1
1527491564,1
1527491567,1
1527491570,1
1527491573,1
1527491576,1
1527491579,1
1527491582,1
1527491585,1
1527491588,1
1527491591,1
1527491594,1
1527491597,1
1527491600,1
1527491603,1
1527491606,1
1527491609,1
1527491612,1
1527491615,1
1527491618,1
1527491621,1
1527491624,1
1527491627,1
1527491630,1
1527491633,1
1527491636,1
1527491639,1
1527491642,1
1527491645,1
1527491648,1
1527491651,1
1527491654,1
1527491657,1
1527491660,1
1527491663,1
1527491666,1
1527491669,1
1527491672,1
1527491675,1
1527491678,1
1527491681,1
1527491684,1
1527491687,1
1527491690,1
1527491693,1
1527491696,1
1527491699,1
1527491702,1
1527491705,1
1527491708,1
1527491711,1
1527491714,1
1527491717,1
1527491720,1
1527491723,1
1527491726,1
1527491729,1
1527491732,1
1527491735,1
1527491738,1
1527491741,1
1527491744,1
1527491747,1
1527491750,1
1527491753,1
1527491756,1
1527491759,1
1527491762,1
1527491765,1
1527491768,1
1527491771,1
1527491774,1
1527491777,1
1527491780,1
1527491783,1
1527491786,1
1527491789,1
1527491792,1
1527491795,1
1527491798,1
1527491801,1
1527491804,1
1527491807,1
1527491810,1
1527491813,1
1527491816,1
1527491819,1
1527491822,1
1527491825,1
1527491828,1
1527491831,1
1527491834,1
1527491837,1
1527491840,1
1527491843,1
1527491846,1
1527491849,1
1527491852,1
1527491855,1
1527491858,1
1527491861,1
1527491864,1
1527491867,1
1527491870,1
1527491873,1
1527491876,1
1527491879,1
1527491882,1
1527491885,1
1527491888,1
1527491891,1
1527491894,1
1527491897,1
1527491900,1
1527491903,1
1527491906,1
1527491909,1
1527491912,1
1527491915,1
1527491918,1
1527491921,1
1527491924,1
1527491927,1
1527491930,1
1527491933,1
1527491936,1
1527491939,1
1527491942,1
1527491945,1
1527491948,1
1527491951,1
1527491954,1
1527491957,1
1527491960,1
t,value
1527493552,1
1527493555,1
1527493558,1
1527493561,1
1527493564,1
1527493567,1
1527493570,1
1527493573,1
1527493576,1
1527493579,1
1527493582,1
1527493585,1
1527493588,1
1527493591,1
1527493594,1
1527493597,1
1527493600,1
1527493603,1
1527493606,1
1527493609,1
1527493612,1
1527493615,1
1527493618,1
1527493621,1
1527493624,1
1527493627,1
1527493630,1
1527493633,1
1527493636,1
1527493639,1
