t,value
1527490619,0
1527490622,0
1527490625,0
1527490628,0
1527490631,0
1527490634,0
1527490637,0
1527490640,0
1527490643,0
1527490646,0
1527490649,0
1527490652,0
1527490655,0
1527490658,0
1527490661,0
1527490664,0
1527490667,0
1527490670,0
1527490673,0
1527490676,0
1527490679,0
1527490682,0
1527490685,0
1527490688,0
1527490691,0
1527490694,0
1527490697,0
1527490700,0
1527490703,0
1527490706,0
1527490709,0
1527490712,0
1527490715,0
1527490718,0
1527490721,0
1527490724,0
1527490727,0
1527490730,0
1527490733,0
1527490736,0
1527490739,0
1527490742,0
1527490745,0
1527490748,0
1527490751,0
1527490754,0
1527490757,0
1527490760,0
1527490763,0
1527490766,0
1527490769,0
1527490772,0
1527490775,0
1527490778,0
1527490781,0
1527490784,0
1527490787,0
1527490790,0
1527490793,0
1527490796,0
1527490799,0
1527490802,0
1527490805,0
1527490808,0
1527490811,0
1527490814,0
1527490817,0
1527490820,0
1527490823,0
1527490826,0
1527490829,0
1527490832,0
1527490835,0
1527490838,0
1527490841,0
1527490844,0
1527490847,0
1527490850,0
1527490853,0
1527490856,0
1527490859,0
1527490862,0
1527490865,0
1527490868,0
1527490871,0
1527490874,0
1527490877,0
1527490880,0
1527490883,0
1527490886,1
1527490889,1
1527490892,1
1527490895,1
1527490898,1
1527490901,1
1527490904,2
1527490907,2
1527490910,2
1527490913,2
1527490916,2
1527490919,2
1527490922,3
1527490925,3
1527490928,3
1527490931,3
1527490934,3
1527490937,3
1527490940,3
1527490943,4
1527490946,4
1527490949,4
1527490952,4
1527490955,4
1527490958,4
1527490961,4
1527490964,5
1527490967,5
1527490970,5
1527490973,5
1527490976,5
1527490979,5
1527490982,5
1527490985,5
1527490988,5
1527490991,5
1527490994,5
1527490997,5
1527491000,5
1527491003,5
1527491006,5
1527491009,5
1527491012,5
1527491015,5
1527491018,5
1527491021,5
1527491024,5
1527491027,5
1527491030,5
1527491033,5
1527491036,5
1527491039,5
1527491042,5
1527491045,5
1527491048,5
1527491051,5
1527491054,5
1527491057,5
1527491060,5
1527491063,5
1527491066,5
1527491069,5
1527491072,5
1527491075,5
1527491078,5
1527491081,5
1527491084,5
1527491087,5
1527491090,5
1527491093,5
1527491096,5
1527491099,5
1527491102,5
1527491105,5
1527491108,5
1527491111,5
1527491114,5
1527491117,5
1527491120,5
1527491123,5
1527491126,5
1527491129,5
1527491132,5
1527491135,5
1527491138,5
1527491141,5
1527491144,5
1527491147,5
