t,value
1527490619,1
1527490622,1
1527490625,1
1527490628,2
1527490631,2
1527490634,3
1527490637,3
1527490640,3
1527490643,3
1527490646,3
1527490649,3
1527490652,3
1527490655,3
1527490658,3
1527490661,3
1527490664,3
1527490667,3
1527490670,3
1527490673,3
1527490676,3
1527490679,3
1527490682,3
1527490685,3
1527490688,3
1527490691,3
1527490694,3
1527490697,3
1527490700,3
1527490703,3
1527490706,3
1527490709,3
1527490712,3
1527490715,3
1527490718,3
1527490721,3
1527490724,3
1527490727,3
1527490730,3
1527490733,3
1527490736,3
1527490739,3
1527490742,3
1527490745,3
1527490748,3
1527490751,3
1527490754,3
1527490757,3
1527490760,3
1527490763,3
1527490766,3
1527490769,3
1527490772,3
1527490775,3
1527490778,3
1527490781,3
1527490784,3
1527490787,3
1527490790,3
1527490793,3
1527490796,3
1527490799,3
1527490802,3
1527490805,3
1527490808,3
1527490811,3
1527490814,3
1527490817,3
1527490820,3
1527490823,3
1527490826,3
1527490829,3
1527490832,3
1527490835,3
1527490838,3
1527490841,3
1527490844,3
1527490847,3
1527490850,3
1527490853,3
1527490856,3
1527490859,3
1527490862,3
1527490865,3
1527490868,3
1527490871,3
1527490874,3
1527490877,3
1527490880,4
1527490883,11
1527490886,13
1527490889,15
1527490892,15
1527490895,15
1527490898,15
1527490901,19
1527490904,21
1527490907,21
1527490910,21
1527490913,21
1527490916,21
1527490919,21
1527490922,27
1527490925,27
1527490928,27
1527490931,27
1527490934,27
1527490937,27
1527490940,27
1527490943,33
1527490946,33
1527490949,33
1527490952,33
1527490955,33
1527490958,33
1527490961,33
1527490964,39
1527490967,39
1527490970,39
1527490973,39
1527490976,39
1527490979,39
1527490982,39
1527490985,39
1527490988,39
1527490991,39
1527490994,39
1527490997,39
1527491000,39
1527491003,39
1527491006,39
1527491009,39
1527491012,39
1527491015,39
1527491018,39
1527491021,39
1527491024,39
1527491027,39
1527491030,39
1527491033,39
1527491036,39
1527491039,39
1527491042,39
1527491045,39
1527491048,39
1527491051,39
1527491054,39
1527491057,39
1527491060,39
1527491063,39
1527491066,39
1527491069,39
1527491072,39
1527491075,39
1527491078,39
1527491081,39
1527491084,39
1527491087,39
1527491090,39
1527491093,39
1527491096,39
1527491099,39
1527491102,39
1527491105,39
1527491108,39
1527491111,39
1527491114,39
1527491117,39
1527491120,39
1527491123,39
1527491126,39
1527491129,39
1527491132,39
1527491135,39
1527491138,39
1527491141,39
1527491144,39
1527491147,39
1527491150,39
1527491153,39
1527491156,39
1527491159,39
1527491162,39
1527491165,39
1527491168,39
1527491171,39
1527491174,39
1527491177,39
1527491180,39
1527491183,39
1527491186,39
1527491189,39
1527491192,39
1527491195,39
1527491198,39
1527491201,39
1527491204,39
1527491207,39
1527491210,39
1527491213,39
1527491216,39
1527491219,39
1527491222,39
1527491225,39
1527491228,39
1527491231,39
1527491234,39
1527491237,39
1527491240,39
1527491243,39
1527491246,39
1527491249,39
1527491252,39
1527491255,39
1527491258,39
1527491261,39
1527491264,39
1527491267,39
1527491270,39
1527491273,39
1527491276,39
1527491279,39
1527491282,39
1527491285,39
1527491288,39
1527491291,39
1527491294,39
1527491297,39
1527491300,39
1527491303,39
1527491306,39
1527491309,39
1527491312,39
1527491315,39
1527491318,39
1527491321,39
1527491324,39
1527491327,39
1527491330,39
1527491333,39
1527491336,39
1527491339,39
1527491342,39
1527491345,39
1527491348,39
1527491351,39
1527491354,39
1527491357,39
1527491360,39
1527491363,39
1527491366,39
1527491369,39
1527491372,39
1527491375,39
1527491378,39
1527491381,39
1527491384,39
1527491387,39
1527491390,39
1527491393,39
1527491396,39
1527491399,39
1527491402,39
1527491405,39
1527491408,39
1527491411,39
1527491414,39
1527491417,39
1527491420,39
1527491423,39
1527491426,39
1527491429,39
1527491432,39
1527491435,39
1527491438,39
1527491441,39
1527491444,39
1527491447,39
1527491450,39
1527491453,39
1527491456,39
1527491459,39
1527491462,39
1527491465,39
1527491468,39
1527491471,39
1527491474,39
1527491477,39
1527491480,39
1527491483,39
1527491486,39
1527491489,39
1527491492,39
1527491495,39
1527491498,39
1527491501,49
1527491504,49
1527491507,49
1527491510,49
1527491513,49
1527491516,49
1527491519,49
1527491522,55
1527491525,55
1527491528,55
1527491531,55
1527491534,55
1527491537,55
1527491540,61
1527491543,61
1527491546,61
1527491549,61
1527491552,61
1527491555,61
1527491558,61
1527491561,67
1527491564,67
1527491567,67
1527491570,67
1527491573,67
1527491576,67
1527491579,67
1527491582,73
1527491585,73
1527491588,73
1527491591,73
1527491594,73
1527491597,73
1527491600,79
1527491603,79
1527491606,79
1527491609,79
1527491612,79
1527491615,79
1527491618,79
1527491621,85
1527491624,85
1527491627,85
1527491630,85
1527491633,85
1527491636,85
1527491639,85
1527491642,91
1527491645,91
1527491648,91
1527491651,91
1527491654,91
1527491657,91
1527491660,97
1527491663,97
1527491666,97
1527491669,97
1527491672,97
1527491675,97
1527491678,97
1527491681,103
1527491684,103
1527491687,103
1527491690,103
1527491693,103
1527491696,103
1527491699,103
1527491702,109
1527491705,109
1527491708,109
1527491711,109
1527491714,109
1527491717,109
1527491720,115
1527491723,115
1527491726,115
1527491729,115
1527491732,115
1527491735,115
1527491738,115
1527491741,121
1527491744,121
1527491747,121
1527491750,121
1527491753,121
1527491756,121
1527491759,121
1527491762,127
1527491765,127
1527491768,127
1527491771,127
1527491774,127
1527491777,127
1527491780,133
1527491783,133
1527491786,133
1527491789,133
1527491792,133
1527491795,133
1527491798,133
1527491801,139
1527491804,139
1527491807,139
1527491810,139
1527491813,139
1527491816,139
1527491819,139
1527491822,145
1527491825,145
1527491828,145
1527491831,145
1527491834,145
1527491837,145
1527491840,151
1527491843,151
1527491846,151
1527491849,151
1527491852,151
1527491855,151
1527491858,151
1527491861,157
1527491864,157
1527491867,157
1527491870,157
1527491873,157
1527491876,157
1527491879,157
1527491882,163
1527491885,163
1527491888,163
1527491891,163
1527491894,163
1527491897,163
1527491900,167
1527491903,169
1527491906,169
1527491909,169
1527491912,169
1527491915,169
1527491918,169
1527491921,175
1527491924,175
1527491927,175
1527491930,175
1527491933,175
1527491936,175
1527491939,175
1527491942,181
1527491945,181
1527491948,181
1527491951,181
1527491954,181
1527491957,185
1527491960,185
t,value
1527493552,1
1527493555,1
1527493558,1
1527493561,1
1527493564,1
1527493567,1
1527493570,1
1527493573,1
1527493576,1
1527493579,1
1527493582,1
1527493585,1
1527493588,1
1527493591,2
1527493594,2
1527493597,2
1527493600,2
1527493603,2
1527493606,4
1527493609,5
1527493612,23
1527493615,23
1527493618,31
1527493621,31
1527493624,31
1527493627,31
1527493630,31
1527493633,43
1527493636,43
1527493639,43
