t,value
1527490619,5
1527490622,5
1527490625,5
1527490628,6
1527490631,6
1527490634,8
1527490637,8
1527490640,8
1527490643,8
1527490646,8
1527490649,8
1527490652,8
1527490655,8
1527490658,8
1527490661,8
1527490664,8
1527490667,8
1527490670,8
1527490673,8
1527490676,8
1527490679,8
1527490682,8
1527490685,8
1527490688,8
1527490691,8
1527490694,8
1527490697,8
1527490700,8
1527490703,8
1527490706,8
1527490709,8
1527490712,8
1527490715,8
1527490718,8
1527490721,8
1527490724,8
1527490727,8
1527490730,8
1527490733,8
1527490736,8
1527490739,8
1527490742,8
1527490745,8
1527490748,8
1527490751,8
1527490754,8
1527490757,8
1527490760,8
1527490763,8
1527490766,8
1527490769,8
1527490772,8
1527490775,8
1527490778,8
1527490781,8
1527490784,8
1527490787,8
1527490790,8
1527490793,8
1527490796,8
1527490799,8
1527490802,8
1527490805,8
1527490808,8
1527490811,8
1527490814,8
1527490817,8
1527490820,8
1527490823,8
1527490826,8
1527490829,8
1527490832,8
1527490835,8
1527490838,8
1527490841,8
1527490844,8
1527490847,8
1527490850,8
1527490853,8
1527490856,8
1527490859,8
1527490862,8
1527490865,8
1527490868,8
1527490871,8
1527490874,8
1527490877,8
1527490880,8
1527490883,8
1527490886,8
1527490889,8
1527490892,8
1527490895,8
1527490898,8
1527490901,8
1527490904,8
1527490907,8
1527490910,8
1527490913,8
1527490916,8
1527490919,8
1527490922,8
1527490925,8
1527490928,8
1527490931,8
1527490934,8
1527490937,8
1527490940,8
1527490943,8
1527490946,8
1527490949,8
1527490952,8
1527490955,8
1527490958,8
1527490961,8
1527490964,8
1527490967,8
1527490970,8
1527490973,8
1527490976,8
1527490979,8
1527490982,8
1527490985,8
1527490988,8
1527490991,8
1527490994,8
1527490997,8
1527491000,8
1527491003,8
1527491006,8
1527491009,8
1527491012,8
1527491015,8
1527491018,8
1527491021,8
1527491024,8
1527491027,8
1527491030,8
1527491033,8
1527491036,8
1527491039,8
1527491042,8
1527491045,8
1527491048,8
1527491051,8
1527491054,8
1527491057,8
1527491060,8
1527491063,8
1527491066,8
1527491069,8
1527491072,8
1527491075,8
1527491078,8
1527491081,8
1527491084,8
1527491087,8
1527491090,8
1527491093,8
1527491096,8
1527491099,8
1527491102,8
1527491105,8
1527491108,8
1527491111,8
1527491114,8
1527491117,8
1527491120,8
1527491123,8
1527491126,8
1527491129,8
1527491132,8
1527491135,8
1527491138,8
1527491141,8
1527491144,8
1527491147,8
1527491150,8
1527491153,8
1527491156,8
1527491159,8
1527491162,8
1527491165,8
1527491168,8
1527491171,8
1527491174,8
1527491177,8
1527491180,8
1527491183,8
1527491186,8
1527491189,8
1527491192,8
1527491195,8
1527491198,8
1527491201,8
1527491204,8
1527491207,8
1527491210,8
1527491213,8
1527491216,8
1527491219,8
1527491222,8
1527491225,8
1527491228,8
1527491231,8
1527491234,8
1527491237,8
1527491240,8
1527491243,8
1527491246,8
1527491249,8
1527491252,8
1527491255,8
1527491258,8
1527491261,8
1527491264,8
1527491267,8
1527491270,8
1527491273,8
1527491276,8
1527491279,8
1527491282,8
1527491285,8
1527491288,8
1527491291,8
1527491294,8
1527491297,8
1527491300,8
1527491303,8
1527491306,8
1527491309,8
1527491312,8
1527491315,8
1527491318,8
1527491321,8
1527491324,8
1527491327,8
1527491330,8
1527491333,8
1527491336,8
1527491339,8
1527491342,8
1527491345,8
1527491348,8
1527491351,8
1527491354,8
1527491357,8
1527491360,8
1527491363,8
1527491366,8
1527491369,8
1527491372,8
1527491375,8
1527491378,8
1527491381,8
1527491384,8
1527491387,8
1527491390,8
1527491393,8
1527491396,8
1527491399,8
1527491402,8
1527491405,8
1527491408,8
1527491411,8
1527491414,8
1527491417,8
1527491420,8
1527491423,8
1527491426,8
1527491429,8
1527491432,8
1527491435,8
1527491438,8
1527491441,8
1527491444,8
1527491447,8
1527491450,8
1527491453,8
1527491456,8
1527491459,8
1527491462,8
1527491465,8
1527491468,8
1527491471,8
1527491474,8
1527491477,8
1527491480,8
1527491483,8
1527491486,8
1527491489,8
1527491492,8
1527491495,8
1527491498,8
1527491501,8
1527491504,8
1527491507,8
1527491510,8
1527491513,8
1527491516,8
1527491519,8
1527491522,8
1527491525,8
1527491528,8
1527491531,8
1527491534,8
1527491537,8
1527491540,8
1527491543,8
1527491546,8
1527491549,8
1527491552,8
1527491555,8
1527491558,8
1527491561,8
1527491564,8
1527491567,8
1527491570,8
1527491573,8
1527491576,8
1527491579,8
1527491582,9
1527491585,9
1527491588,9
1527491591,9
1527491594,9
1527491597,9
1527491600,9
1527491603,9
1527491606,9
1527491609,9
1527491612,9
1527491615,9
1527491618,9
1527491621,9
1527491624,9
1527491627,9
1527491630,9
1527491633,9
1527491636,9
1527491639,9
1527491642,9
1527491645,9
1527491648,9
1527491651,9
1527491654,9
1527491657,9
1527491660,9
1527491663,9
1527491666,9
1527491669,9
1527491672,9
1527491675,9
1527491678,9
1527491681,9
1527491684,9
1527491687,9
1527491690,9
1527491693,9
1527491696,9
1527491699,9
1527491702,9
1527491705,9
1527491708,9
1527491711,9
1527491714,9
1527491717,9
1527491720,9
1527491723,9
1527491726,9
1527491729,9
1527491732,9
1527491735,9
1527491738,9
1527491741,9
1527491744,9
1527491747,9
1527491750,9
1527491753,9
1527491756,9
1527491759,9
1527491762,9
1527491765,9
1527491768,9
1527491771,9
1527491774,9
1527491777,9
1527491780,9
1527491783,9
1527491786,9
1527491789,9
1527491792,9
1527491795,9
1527491798,9
1527491801,9
1527491804,9
1527491807,9
1527491810,9
1527491813,9
1527491816,9
1527491819,9
1527491822,9
1527491825,9
1527491828,9
1527491831,9
1527491834,9
1527491837,9
1527491840,9
1527491843,9
1527491846,9
1527491849,9
1527491852,9
1527491855,9
1527491858,9
1527491861,9
1527491864,9
1527491867,9
1527491870,9
1527491873,9
1527491876,9
1527491879,9
1527491882,9
1527491885,9
1527491888,9
1527491891,9
1527491894,9
1527491897,9
1527491900,9
1527491903,9
1527491906,9
1527491909,9
1527491912,9
1527491915,9
1527491918,9
1527491921,9
1527491924,9
1527491927,9
1527491930,9
1527491933,9
1527491936,9
1527491939,9
1527491942,9
1527491945,9
1527491948,9
1527491951,9
1527491954,9
1527491957,9
1527491960,9
t,value
1527493552,3
1527493555,4
1527493558,4
1527493561,4
1527493564,4
1527493567,4
1527493570,4
1527493573,4
1527493576,4
1527493579,4
1527493582,4
1527493585,4
1527493588,4
1527493591,5
1527493594,5
1527493597,5
1527493600,5
1527493603,5
1527493606,6
1527493609,6
1527493612,6
1527493615,6
1527493618,6
1527493621,6
1527493624,6
1527493627,6
1527493630,6
1527493633,6
1527493636,6
1527493639,6
1527493642,6
1527493645,6
1527493648,6
1527493651,6
1527493654,6
1527493657,6
1527493660,6
1527493663,6
1527493666,6
1527493669,6
1527493672,6
1527493675,6
1527493678,6
1527493681,6
1527493684,6
1527493687,6
1527493690,6
1527493693,6
1527493696,6
1527493699,6
1527493702,6
1527493705,6
1527493708,6
1527493711,6
1527493714,6
1527493717,6
1527493720,6
1527493723,6
1527493726,6
1527493729,6
1527493732,6
1527493735,6
1527493738,6
1527493741,6
1527493744,6
1527493747,6
1527493750,6
1527493753,6
1527493756,6
1527493759,6
1527493762,7
1527493765,7
1527493768,7
1527493771,7
1527493774,7
1527493777,7
1527493780,7
1527493783,7
1527493786,7
1527493789,7
1527493792,7
1527493795,7
1527493798,7
1527493801,7
1527493804,7
1527493807,7
1527493810,7
1527493813,7
1527493816,7
1527493819,7
1527493822,7
1527493825,7
1527493828,7
1527493831,7
1527493834,7
1527493837,7
1527493840,7
1527493843,7
1527493846,7
1527493849,7
1527493852,7
1527493855,7
1527493858,7
1527493861,7
1527493864,7
1527493867,7
1527493870,7
1527493873,7
1527493876,7
1527493879,7
1527493882,7
1527493885,7
1527493888,7
1527493891,7
1527493894,7
1527493897,7
1527493900,7
1527493903,7
1527493906,7
1527493909,7
1527493912,7
1527493915,7
1527493918,7
1527493921,7
1527493924,7
1527493927,7
1527493930,7
1527493933,7
1527493936,7
1527493939,7
1527493942,7
1527493945,7
1527493948,7
1527493951,7
1527493954,7
1527493957,7
1527493960,7
1527493963,7
1527493966,7
1527493969,7
1527493972,7
1527493975,7
1527493978,7
1527493981,7
1527493984,7
1527493987,7
1527493990,7
1527493993,7
1527493996,7
1527493999,7
1527494002,7
1527494005,7
1527494008,7
1527494011,7
1527494014,7
1527494017,7
1527494020,7
1527494023,7
1527494026,7
1527494029,7
1527494032,7
1527494035,7
1527494038,7
1527494041,7
1527494044,7
1527494047,7
1527494050,7
1527494053,7
1527494056,7
1527494059,7
1527494062,7
1527494065,7
1527494068,7
1527494071,7
1527494074,7
1527494077,7
1527494080,7
1527494083,7
1527494086,7
1527494089,7
1527494092,7
1527494095,7
1527494098,7
1527494101,7
1527494104,7
1527494107,7
1527494110,7
1527494113,7
1527494116,7
1527494119,7
1527494122,7
1527494125,7
1527494128,7
1527494131,7
1527494134,7
1527494137,7
1527494140,7
1527494143,7
1527494146,7
1527494149,7
1527494152,7
1527494155,7
1527494158,7
1527494161,7
1527494164,7
1527494167,7
1527494170,7
1527494173,7
1527494176,7
1527494179,7
1527494182,7
1527494185,7
1527494188,7
1527494191,7
1527494194,7
1527494197,7
1527494200,7
1527494203,7
1527494206,7
1527494209,7
1527494212,7
1527494215,7
1527494218,7
1527494221,7
1527494224,7
1527494227,7
1527494230,7
1527494233,8
1527494236,8
1527494239,8
1527494242,8
1527494245,8
1527494248,8
1527494251,8
1527494254,8
1527494257,8
1527494260,8
1527494263,8
1527494266,8
1527494269,8
1527494272,8
1527494275,8
1527494278,8
1527494281,8
1527494284,8
1527494287,8
1527494290,8
1527494293,8
1527494296,8
1527494299,8
1527494302,8
1527494305,8
1527494308,8
1527494311,8
1527494314,8
1527494317,8
1527494320,8
1527494323,8
1527494326,8
1527494329,8
1527494332,8
1527494335,8
1527494338,8
1527494341,8
1527494344,8
1527494347,8
1527494350,8
1527494353,8
1527494356,8
1527494359,8
1527494362,8
1527494365,8
1527494368,8
1527494371,8
1527494374,8
1527494377,8
1527494380,8
1527494383,8
1527494386,8
1527494389,8
1527494392,8
1527494395,8
1527494398,8
1527494401,8
1527494404,8
1527494407,8
1527494410,8
1527494413,8
1527494416,8
1527494419,8
1527494422,8
1527494425,8
1527494428,8
1527494431,8
1527494434,8
1527494437,8
1527494440,8
1527494443,8
1527494446,8
1527494449,8
1527494452,8
1527494455,8
1527494458,8
1527494461,8
t,value
1527742756,3
1527742759,4
1527742762,4
1527742765,5
1527742768,5
1527742771,5
1527742774,6
1527742777,6
1527742780,6
1527742783,6
1527742786,6
1527742789,6
1527742792,6
1527742795,6
1527742798,6
1527742801,6
1527742804,6
1527742807,6
1527742810,6
1527742813,6
1527742816,6
1527742819,6
1527742822,6
1527742825,6
1527742828,6
1527742831,6
1527742834,6
1527742837,6
1527742840,6
1527742843,6
1527742846,6
1527742849,6
1527742852,6
1527742855,6
1527742858,6
1527742861,6
1527742864,6
1527742867,6
1527742870,6
1527742873,6
1527742876,6
1527742879,6
1527742882,6
1527742885,6
1527742888,6
1527742891,6
1527742894,6
1527742897,6
1527742900,6
1527742903,6
1527742906,6
1527742909,6
1527742912,6
1527742915,6
1527742918,6
1527742921,6
1527742924,6
1527742927,6
1527742930,6
1527742933,6
1527742936,6
1527742939,6
1527742942,6
1527742945,6
1527742948,6
1527742951,6
1527742954,6
1527742957,6
1527742960,6
1527742963,6
1527742966,6
1527742969,6
1527742972,6
1527742975,6
1527742978,6
1527742981,6
1527742984,6
1527742987,6
1527742990,7
1527742993,7
1527742996,7
1527742999,7
1527743002,7
1527743005,7
1527743008,7
1527743011,7
1527743014,7
1527743018,7
1527743020,7
1527743023,7
1527743026,7
1527743029,7
1527743032,7
1527743035,7
1527743038,7
1527743041,7
1527743044,7
1527743047,7
1527743050,7
1527743053,7
1527743056,7
1527743059,7
1527743062,7
1527743065,7
1527743068,7
1527743071,7
1527743074,7
1527743077,7
1527743080,7
1527743083,7
1527743086,7
1527743089,7
1527743092,7
1527743095,7
1527743098,7
1527743101,7
1527743104,7
1527743107,7
1527743110,7
1527743113,7
1527743116,7
1527743119,7
1527743122,7
1527743125,7
1527743128,7
1527743131,7
1527743134,7
1527743137,7
1527743140,7
1527743143,7
1527743146,7
1527743149,7
1527743152,7
1527743155,7
1527743158,7
1527743161,7
1527743164,7
1527743167,7
1527743170,7
1527743173,7
1527743176,7
1527743179,7
1527743182,7
1527743185,7
1527743188,7
1527743191,7
1527743194,7
1527743197,7
1527743200,7
1527743203,7
1527743206,7
1527743209,7
1527743212,7
1527743215,7
1527743218,7
1527743221,7
1527743224,7
1527743227,7
1527743230,7
1527743233,7
1527743236,7
1527743239,7
1527743242,7
1527743245,7
1527743248,7
1527743251,7
1527743254,7
1527743257,7
1527743260,7
1527743263,7
1527743266,7
1527743269,7
1527743272,7
1527743275,7
1527743278,7
1527743281,7
1527743284,7
1527743287,7
1527743290,7
1527743293,7
1527743296,7
1527743299,7
1527743302,7
1527743305,7
1527743308,7
1527743311,7
