t,value
1527490619,72
1527490622,72
1527490625,72
1527490628,98
1527490631,98
1527490634,157
1527490637,157
1527490640,157
1527490643,157
1527490646,157
1527490649,157
1527490652,157
1527490655,157
1527490658,157
1527490661,157
1527490664,157
1527490667,157
1527490670,157
1527490673,157
1527490676,157
1527490679,157
1527490682,157
1527490685,157
1527490688,157
1527490691,157
1527490694,157
1527490697,157
1527490700,157
1527490703,157
1527490706,157
1527490709,157
1527490712,157
1527490715,157
1527490718,157
1527490721,157
1527490724,157
1527490727,157
1527490730,157
1527490733,157
1527490736,157
1527490739,157
1527490742,157
1527490745,157
1527490748,157
1527490751,157
1527490754,157
1527490757,157
1527490760,157
1527490763,157
1527490766,157
1527490769,157
1527490772,157
1527490775,157
1527490778,157
1527490781,157
1527490784,157
1527490787,157
1527490790,157
1527490793,157
1527490796,157
1527490799,157
1527490802,157
1527490805,157
1527490808,157
1527490811,157
1527490814,157
1527490817,157
1527490820,157
1527490823,157
1527490826,157
1527490829,157
1527490832,157
1527490835,157
1527490838,157
1527490841,157
1527490844,157
1527490847,157
1527490850,157
1527490853,157
1527490856,157
1527490859,157
1527490862,157
1527490865,157
1527490868,157
1527490871,157
1527490874,157
1527490877,157
1527490880,157
1527490883,157
1527490886,157
1527490889,157
1527490892,157
1527490895,157
1527490898,157
1527490901,157
1527490904,157
1527490907,157
1527490910,157
1527490913,157
1527490916,157
1527490919,157
1527490922,157
1527490925,157
1527490928,157
1527490931,157
1527490934,157
1527490937,157
1527490940,157
1527490943,157
1527490946,157
1527490949,157
1527490952,157
1527490955,157
1527490958,157
1527490961,157
1527490964,157
1527490967,157
1527490970,157
1527490973,157
1527490976,157
1527490979,157
1527490982,157
1527490985,157
1527490988,157
1527490991,157
1527490994,157
1527490997,157
1527491000,157
1527491003,157
1527491006,157
1527491009,157
1527491012,157
1527491015,157
1527491018,157
1527491021,157
1527491024,157
1527491027,157
1527491030,157
1527491033,157
1527491036,157
1527491039,157
1527491042,157
1527491045,157
1527491048,157
1527491051,157
1527491054,157
1527491057,157
1527491060,157
1527491063,157
1527491066,157
1527491069,157
1527491072,157
1527491075,157
1527491078,157
1527491081,157
1527491084,157
1527491087,157
1527491090,157
1527491093,157
1527491096,157
1527491099,157
1527491102,157
1527491105,157
1527491108,157
1527491111,157
1527491114,157
1527491117,157
1527491120,157
1527491123,157
1527491126,157
1527491129,157
1527491132,157
1527491135,157
1527491138,157
1527491141,157
1527491144,157
1527491147,157
1527491150,157
1527491153,157
1527491156,157
1527491159,157
1527491162,157
1527491165,157
1527491168,157
1527491171,157
1527491174,157
1527491177,157
1527491180,157
1527491183,157
1527491186,157
1527491189,157
1527491192,157
1527491195,157
1527491198,157
1527491201,157
1527491204,157
1527491207,157
1527491210,157
1527491213,157
1527491216,157
1527491219,157
1527491222,157
1527491225,157
1527491228,157
1527491231,157
1527491234,157
1527491237,157
1527491240,157
1527491243,157
1527491246,157
1527491249,157
1527491252,157
1527491255,157
1527491258,157
1527491261,157
1527491264,157
1527491267,157
1527491270,157
1527491273,157
1527491276,157
1527491279,157
1527491282,157
1527491285,157
1527491288,157
1527491291,157
1527491294,157
1527491297,157
1527491300,157
1527491303,157
1527491306,157
1527491309,157
1527491312,157
1527491315,157
1527491318,157
1527491321,157
1527491324,157
1527491327,157
1527491330,157
1527491333,157
1527491336,157
1527491339,157
1527491342,157
1527491345,157
1527491348,157
1527491351,157
1527491354,157
1527491357,157
1527491360,157
1527491363,157
1527491366,157
1527491369,157
1527491372,157
1527491375,157
1527491378,157
1527491381,157
1527491384,157
1527491387,157
1527491390,157
1527491393,157
1527491396,157
1527491399,157
1527491402,157
1527491405,157
1527491408,157
1527491411,157
1527491414,157
1527491417,157
1527491420,157
1527491423,157
1527491426,157
1527491429,157
1527491432,157
1527491435,157
1527491438,157
1527491441,157
1527491444,157
1527491447,157
1527491450,157
1527491453,157
1527491456,157
1527491459,157
1527491462,157
1527491465,157
1527491468,157
1527491471,157
1527491474,157
1527491477,157
1527491480,157
1527491483,157
1527491486,157
1527491489,157
1527491492,157
1527491495,157
1527491498,157
1527491501,157
1527491504,157
1527491507,157
1527491510,157
1527491513,157
1527491516,157
1527491519,157
1527491522,157
1527491525,157
1527491528,157
1527491531,157
1527491534,157
1527491537,157
1527491540,157
1527491543,157
1527491546,157
1527491549,157
1527491552,157
1527491555,157
1527491558,157
1527491561,157
1527491564,157
1527491567,157
1527491570,157
1527491573,157
1527491576,157
1527491579,157
1527491582,210
1527491585,210
1527491588,210
1527491591,210
1527491594,210
1527491597,210
1527491600,210
1527491603,210
1527491606,210
1527491609,210
1527491612,210
1527491615,210
1527491618,210
1527491621,210
1527491624,210
1527491627,210
1527491630,210
1527491633,210
1527491636,210
1527491639,210
1527491642,210
1527491645,210
1527491648,210
1527491651,210
1527491654,210
1527491657,210
1527491660,210
1527491663,210
1527491666,210
1527491669,210
1527491672,210
1527491675,210
1527491678,210
1527491681,210
1527491684,210
1527491687,210
1527491690,210
1527491693,210
1527491696,210
1527491699,210
1527491702,210
1527491705,210
1527491708,210
1527491711,210
1527491714,210
1527491717,210
1527491720,210
1527491723,210
1527491726,210
1527491729,210
1527491732,210
1527491735,210
1527491738,210
1527491741,210
1527491744,210
1527491747,210
1527491750,210
1527491753,210
1527491756,210
1527491759,210
1527491762,210
1527491765,210
1527491768,210
1527491771,210
1527491774,210
1527491777,210
1527491780,210
1527491783,210
1527491786,210
1527491789,210
1527491792,210
1527491795,210
1527491798,210
1527491801,210
1527491804,210
1527491807,210
1527491810,210
1527491813,210
1527491816,210
1527491819,210
1527491822,210
1527491825,210
1527491828,210
1527491831,210
1527491834,210
1527491837,210
1527491840,210
1527491843,210
1527491846,210
1527491849,210
1527491852,210
1527491855,210
1527491858,210
1527491861,210
1527491864,210
1527491867,210
1527491870,210
1527491873,210
1527491876,210
1527491879,210
1527491882,210
1527491885,210
1527491888,210
1527491891,210
1527491894,210
1527491897,210
1527491900,210
1527491903,210
1527491906,210
1527491909,210
1527491912,210
1527491915,210
1527491918,210
1527491921,210
1527491924,210
1527491927,210
1527491930,210
1527491933,210
1527491936,210
1527491939,210
1527491942,210
1527491945,210
1527491948,210
1527491951,210
1527491954,210
1527491957,210
1527491960,210
t,value
1527493552,27
1527493555,49
1527493558,49
1527493561,49
1527493564,49
1527493567,49
1527493570,49
1527493573,49
1527493576,49
1527493579,49
1527493582,49
1527493585,49
1527493588,49
1527493591,80
1527493594,80
1527493597,80
1527493600,80
1527493603,80
1527493606,118
1527493609,118
1527493612,118
1527493615,118
1527493618,118
1527493621,118
1527493624,118
1527493627,118
1527493630,118
1527493633,118
1527493636,118
1527493639,118
1527493642,118
1527493645,118
1527493648,118
1527493651,118
1527493654,118
1527493657,118
1527493660,118
1527493663,118
1527493666,118
1527493669,118
1527493672,118
1527493675,118
1527493678,118
1527493681,118
1527493684,118
1527493687,118
1527493690,118
1527493693,118
1527493696,118
1527493699,118
1527493702,118
1527493705,118
1527493708,118
1527493711,118
1527493714,118
1527493717,118
1527493720,118
1527493723,118
1527493726,118
1527493729,118
1527493732,118
1527493735,118
1527493738,118
