t,value
1527490619,5
1527490622,5
1527490625,5
1527490628,5
1527490631,6
1527490634,10
1527490637,10
1527490640,10
1527490643,10
1527490646,10
1527490649,10
1527490652,10
1527490655,10
1527490658,10
1527490661,10
1527490664,10
1527490667,10
1527490670,10
1527490673,10
1527490676,10
1527490679,10
1527490682,10
1527490685,10
1527490688,10
1527490691,10
1527490694,10
1527490697,10
1527490700,10
1527490703,10
1527490706,10
1527490709,10
1527490712,10
1527490715,10
1527490718,10
1527490721,10
1527490724,10
1527490727,10
1527490730,10
1527490733,10
1527490736,10
1527490739,10
1527490742,10
1527490745,10
1527490748,10
1527490751,10
1527490754,10
1527490757,10
1527490760,10
1527490763,10
1527490766,10
1527490769,10
1527490772,10
1527490775,10
1527490778,10
1527490781,10
1527490784,10
1527490787,10
1527490790,10
1527490793,10
1527490796,10
1527490799,10
1527490802,10
1527490805,10
1527490808,10
1527490811,10
1527490814,10
1527490817,10
1527490820,10
1527490823,10
1527490826,10
1527490829,10
1527490832,10
1527490835,10
1527490838,10
1527490841,10
1527490844,10
1527490847,10
1527490850,10
1527490853,10
1527490856,10
1527490859,10
1527490862,10
1527490865,10
1527490868,10
1527490871,10
1527490874,10
1527490877,27
1527490880,36
1527490883,36
1527490886,36
1527490889,36
1527490892,36
1527490895,36
1527490898,36
1527490901,36
1527490904,36
1527490907,36
1527490910,36
1527490913,36
1527490916,36
1527490919,36
1527490922,36
1527490925,36
1527490928,36
1527490931,36
1527490934,36
1527490937,36
1527490940,36
1527490943,36
1527490946,36
1527490949,36
1527490952,36
1527490955,36
1527490958,36
1527490961,36
1527490964,36
1527490967,36
1527490970,36
1527490973,36
1527490976,36
1527490979,36
1527490982,36
1527490985,36
1527490988,36
1527490991,36
1527490994,36
1527490997,36
1527491000,36
1527491003,36
1527491006,36
1527491009,36
1527491012,36
1527491015,36
1527491018,36
1527491021,36
1527491024,36
1527491027,36
1527491030,36
1527491033,36
1527491036,36
1527491039,36
1527491042,36
1527491045,36
1527491048,36
1527491051,36
1527491054,36
1527491057,36
1527491060,36
1527491063,36
1527491066,36
1527491069,36
1527491072,36
1527491075,36
1527491078,36
1527491081,36
1527491084,36
1527491087,36
1527491090,36
1527491093,36
1527491096,36
1527491099,36
1527491102,36
1527491105,36
1527491108,36
1527491111,36
1527491114,36
1527491117,36
1527491120,36
1527491123,36
1527491126,36
1527491129,36
1527491132,36
1527491135,36
1527491138,36
1527491141,36
1527491144,36
1527491147,36
1527491150,36
1527491153,36
1527491156,36
1527491159,36
1527491162,36
1527491165,36
1527491168,36
1527491171,36
1527491174,36
1527491177,36
1527491180,36
1527491183,36
1527491186,36
1527491189,36
1527491192,36
1527491195,36
1527491198,36
1527491201,36
1527491204,36
1527491207,36
1527491210,36
1527491213,36
1527491216,36
1527491219,36
1527491222,36
1527491225,36
1527491228,36
1527491231,36
1527491234,36
1527491237,36
1527491240,36
1527491243,36
1527491246,36
1527491249,36
1527491252,36
1527491255,36
1527491258,36
1527491261,36
1527491264,36
1527491267,36
1527491270,36
1527491273,36
1527491276,36
1527491279,36
1527491282,36
1527491285,36
1527491288,36
1527491291,36
1527491294,36
1527491297,36
1527491300,36
1527491303,36
1527491306,36
1527491309,36
1527491312,36
1527491315,36
1527491318,36
1527491321,36
1527491324,36
1527491327,36
1527491330,36
1527491333,36
1527491336,36
1527491339,36
1527491342,36
1527491345,36
1527491348,36
1527491351,36
1527491354,36
1527491357,36
1527491360,36
1527491363,36
1527491366,36
1527491369,36
1527491372,36
1527491375,36
1527491378,36
1527491381,36
1527491384,36
1527491387,36
1527491390,36
1527491393,36
1527491396,36
1527491399,36
1527491402,36
1527491405,36
1527491408,36
1527491411,36
1527491414,36
1527491417,36
1527491420,36
1527491423,36
1527491426,36
1527491429,36
1527491432,36
1527491435,36
1527491438,36
1527491441,36
1527491444,36
1527491447,36
1527491450,36
1527491453,36
1527491456,36
1527491459,36
1527491462,36
1527491465,36
1527491468,36
1527491471,36
1527491474,36
1527491477,36
1527491480,36
1527491483,36
1527491486,36
1527491489,36
1527491492,36
1527491495,36
1527491498,36
1527491501,36
1527491504,36
1527491507,36
1527491510,36
1527491513,36
1527491516,36
1527491519,36
1527491522,36
1527491525,36
1527491528,36
1527491531,36
1527491534,36
1527491537,36
1527491540,36
1527491543,36
1527491546,36
1527491549,36
1527491552,36
1527491555,36
1527491558,36
1527491561,36
1527491564,36
1527491567,36
1527491570,36
1527491573,36
1527491576,36
1527491579,36
1527491582,33
1527491585,33
1527491588,33
1527491591,33
1527491594,33
1527491597,33
1527491600,33
1527491603,33
1527491606,33
1527491609,33
1527491612,33
1527491615,33
1527491618,33
1527491621,33
1527491624,33
1527491627,33
1527491630,33
1527491633,33
1527491636,33
1527491639,33
1527491642,33
1527491645,33
1527491648,33
1527491651,33
1527491654,33
1527491657,33
1527491660,33
1527491663,33
1527491666,33
1527491669,33
1527491672,33
1527491675,33
1527491678,33
1527491681,33
1527491684,33
1527491687,33
1527491690,33
1527491693,33
1527491696,33
1527491699,33
1527491702,33
1527491705,33
1527491708,33
1527491711,33
1527491714,33
1527491717,33
1527491720,33
1527491723,33
1527491726,33
1527491729,33
1527491732,33
1527491735,33
1527491738,33
1527491741,33
1527491744,33
1527491747,33
1527491750,33
1527491753,33
1527491756,33
1527491759,33
1527491762,33
1527491765,33
1527491768,33
1527491771,33
1527491774,33
1527491777,33
1527491780,33
1527491783,33
1527491786,33
1527491789,33
1527491792,33
1527491795,33
1527491798,33
1527491801,33
1527491804,33
1527491807,33
1527491810,33
1527491813,33
1527491816,33
1527491819,33
1527491822,33
1527491825,33
1527491828,33
1527491831,33
1527491834,33
1527491837,33
1527491840,33
1527491843,33
1527491846,33
1527491849,33
1527491852,33
1527491855,33
1527491858,33
1527491861,33
1527491864,33
1527491867,33
1527491870,33
1527491873,33
1527491876,33
1527491879,33
1527491882,33
1527491885,33
1527491888,33
1527491891,33
1527491894,33
1527491897,33
1527491900,33
1527491903,33
1527491906,33
1527491909,33
1527491912,33
1527491915,33
1527491918,33
1527491921,33
1527491924,33
1527491927,33
1527491930,33
1527491933,33
1527491936,33
1527491939,33
1527491942,33
1527491945,33
1527491948,33
1527491951,33
1527491954,33
1527491957,33
1527491960,33
t,value
1527493552,5
1527493555,5
1527493558,5
1527493561,5
1527493564,5
1527493567,5
1527493570,5
1527493573,5
1527493576,5
1527493579,5
1527493582,5
1527493585,5
1527493588,5
1527493591,5
1527493594,5
1527493597,5
1527493600,5
1527493603,9
1527493606,8
1527493609,8
1527493612,8
1527493615,8
1527493618,8
1527493621,8
1527493624,8
1527493627,8
1527493630,8
1527493633,8
1527493636,8
1527493639,8
1527493642,8
1527493645,8
1527493648,8
1527493651,8
1527493654,8
1527493657,8
1527493660,8
1527493663,8
1527493666,8
1527493669,8
1527493672,8
1527493675,8
1527493678,8
1527493681,8
1527493684,8
1527493687,8
1527493690,8
1527493693,8
1527493696,8
1527493699,8
1527493702,8
1527493705,8
1527493708,8
1527493711,8
1527493714,8
1527493717,8
1527493720,8
1527493723,8
1527493726,8
1527493729,8
1527493732,8
1527493735,8
1527493738,8
1527493741,8
1527493744,8
1527493747,8
1527493750,8
1527493753,8
1527493756,8
1527493759,9
1527493762,9
1527493765,9
1527493768,9
1527493771,9
1527493774,9
1527493777,9
1527493780,9
1527493783,9
1527493786,9
1527493789,9
1527493792,9
1527493795,10
1527493798,10
1527493801,10
1527493804,10
1527493807,10
1527493810,10
1527493813,10
1527493816,10
1527493819,10
1527493822,10
1527493825,10
1527493828,10
1527493831,10
1527493834,10
1527493837,10
1527493840,10
1527493843,10
1527493846,10
1527493849,10
1527493852,10
1527493855,10
1527493858,10
1527493861,10
1527493864,10
1527493867,10
1527493870,10
1527493873,10
1527493876,10
1527493879,10
1527493882,10
1527493885,10
1527493888,10
1527493891,10
1527493894,10
1527493897,10
1527493900,10
1527493903,10
1527493906,10
1527493909,10
1527493912,10
1527493915,10
1527493918,10
1527493921,10
1527493924,10
1527493927,10
1527493930,10
1527493933,10
1527493936,10
1527493939,10
1527493942,10
1527493945,10
1527493948,10
1527493951,10
1527493954,10
1527493957,10
1527493960,10
1527493963,10
1527493966,10
1527493969,10
1527493972,10
1527493975,10
1527493978,10
1527493981,10
1527493984,10
1527493987,10
1527493990,10
1527493993,10
1527493996,10
1527493999,10
1527494002,10
1527494005,10
1527494008,10
1527494011,10
1527494014,10
1527494017,10
1527494020,10
1527494023,10
1527494026,10
1527494029,10
1527494032,10
1527494035,10
1527494038,10
1527494041,10
1527494044,10
1527494047,10
1527494050,10
1527494053,10
1527494056,10
1527494059,10
1527494062,10
1527494065,10
1527494068,10
1527494071,10
1527494074,10
1527494077,10
1527494080,10
1527494083,10
1527494086,10
1527494089,10
1527494092,10
1527494095,10
1527494098,10
1527494101,10
1527494104,10
1527494107,10
1527494110,10
1527494113,10
1527494116,10
1527494119,10
1527494122,10
1527494125,10
1527494128,10
1527494131,10
1527494134,10
1527494137,10
1527494140,10
1527494143,10
1527494146,10
1527494149,10
1527494152,10
1527494155,10
1527494158,10
1527494161,10
1527494164,10
1527494167,10
1527494170,10
1527494173,10
1527494176,10
1527494179,10
1527494182,10
1527494185,10
1527494188,10
1527494191,10
1527494194,10
1527494197,10
1527494200,10
1527494203,10
1527494206,10
1527494209,10
1527494212,10
1527494215,10
1527494218,10
1527494221,10
1527494224,10
1527494227,10
1527494230,10
1527494233,10
1527494236,10
1527494239,10
1527494242,10
1527494245,10
1527494248,10
1527494251,10
1527494254,10
1527494257,10
1527494260,10
1527494263,10
1527494266,10
1527494269,10
1527494272,10
1527494275,10
1527494278,10
1527494281,10
1527494284,10
1527494287,10
1527494290,10
1527494293,10
1527494296,10
1527494299,10
1527494302,10
1527494305,10
1527494308,10
1527494311,10
1527494314,10
1527494317,10
1527494320,10
1527494323,10
1527494326,10
1527494329,10
1527494332,10
1527494335,10
1527494338,10
1527494341,10
1527494344,10
1527494347,10
1527494350,10
1527494353,10
1527494356,10
1527494359,10
1527494362,10
1527494365,10
1527494368,10
1527494371,10
1527494374,10
1527494377,10
1527494380,10
1527494383,10
1527494386,10
1527494389,10
1527494392,10
1527494395,10
1527494398,10
1527494401,10
1527494404,10
1527494407,10
1527494410,10
1527494413,10
1527494416,10
1527494419,10
1527494422,10
1527494425,10
1527494428,10
1527494431,10
1527494434,10
1527494437,10
1527494440,10
1527494443,10
1527494446,10
1527494449,10
1527494452,10
1527494455,10
1527494458,10
1527494461,10
t,value
1527742756,5
1527742759,5
1527742762,5
1527742765,5
1527742768,5
1527742771,9
1527742774,8
1527742777,8
1527742780,8
1527742783,8
1527742786,8
1527742789,8
1527742792,8
1527742795,8
1527742798,8
1527742801,8
1527742804,8
1527742807,8
1527742810,8
1527742813,8
1527742816,8
1527742819,8
1527742822,8
1527742825,8
1527742828,8
1527742831,8
1527742834,8
1527742837,8
1527742840,8
1527742843,8
1527742846,8
1527742849,8
1527742852,8
1527742855,8
1527742858,8
1527742861,8
1527742864,8
1527742867,8
1527742870,8
1527742873,8
1527742876,8
1527742879,8
1527742882,8
1527742885,8
1527742888,8
1527742891,8
1527742894,8
1527742897,8
1527742900,8
1527742903,8
1527742906,8
1527742909,8
1527742912,8
1527742915,8
1527742918,8
1527742921,8
1527742924,8
1527742927,8
1527742930,8
1527742933,8
1527742936,8
1527742939,8
1527742942,8
1527742945,8
1527742948,8
1527742951,8
1527742954,8
1527742957,8
1527742960,8
1527742963,8
1527742966,8
1527742969,8
1527742972,8
1527742975,8
1527742978,8
1527742981,8
1527742984,8
1527742987,8
1527742990,8
1527742993,8
1527742996,8
1527742999,8
1527743002,8
1527743005,8
1527743008,8
1527743011,8
1527743014,8
1527743018,8
1527743020,8
1527743023,8
1527743026,8
1527743029,8
1527743032,8
1527743035,8
1527743038,8
1527743041,8
1527743044,8
1527743047,8
1527743050,8
1527743053,8
1527743056,8
1527743059,8
1527743062,8
1527743065,8
1527743068,8
1527743071,8
1527743074,8
1527743077,8
1527743080,8
1527743083,8
1527743086,8
1527743089,8
1527743092,8
1527743095,8
1527743098,8
1527743101,8
1527743104,8
1527743107,8
1527743110,8
1527743113,8
1527743116,8
1527743119,8
1527743122,8
1527743125,8
1527743128,8
1527743131,8
1527743134,8
1527743137,8
1527743140,8
1527743143,8
1527743146,8
1527743149,8
1527743152,8
1527743155,8
1527743158,8
1527743161,8
1527743164,8
1527743167,8
1527743170,8
1527743173,8
1527743176,8
1527743179,8
1527743182,8
1527743185,8
1527743188,8
1527743191,8
1527743194,8
1527743197,8
1527743200,8
1527743203,8
1527743206,8
1527743209,8
1527743212,8
1527743215,8
1527743218,8
1527743221,8
1527743224,8
1527743227,8
1527743230,8
1527743233,8
1527743236,8
1527743239,8
1527743242,8
1527743245,8
1527743248,8
1527743251,8
1527743254,8
1527743257,8
1527743260,8
1527743263,8
1527743266,8
1527743269,8
1527743272,8
1527743275,8
1527743278,8
1527743281,8
1527743284,8
1527743287,8
1527743290,8
1527743293,8
1527743296,8
1527743299,8
1527743302,8
1527743305,8
1527743308,8
1527743311,8
