t,value
1527490619,196625
1527490622,196625
1527490625,196625
1527490628,196625
1527490631,204817
1527490634,248081
1527490637,248081
1527490640,248081
1527490643,248081
1527490646,248081
1527490649,248081
1527490652,248081
1527490655,248081
1527490658,248081
1527490661,248081
1527490664,248081
1527490667,248081
1527490670,248081
1527490673,248081
1527490676,248081
1527490679,248081
1527490682,248081
1527490685,248081
1527490688,248081
1527490691,248081
1527490694,248081
1527490697,248081
1527490700,248081
1527490703,248081
1527490706,248081
1527490709,248081
1527490712,248081
1527490715,248081
1527490718,248081
1527490721,248081
1527490724,248081
1527490727,248081
1527490730,248081
1527490733,248081
1527490736,248081
1527490739,248081
1527490742,248081
1527490745,248081
1527490748,248081
1527490751,248081
1527490754,248081
1527490757,248081
1527490760,248081
1527490763,248081
1527490766,248081
1527490769,248081
1527490772,248081
1527490775,248081
1527490778,248081
1527490781,248081
1527490784,248081
1527490787,248081
1527490790,248081
1527490793,248081
1527490796,248081
1527490799,248081
1527490802,248081
1527490805,248081
1527490808,248081
1527490811,248081
1527490814,248081
1527490817,248081
1527490820,248081
1527490823,248081
1527490826,248081
1527490829,248081
1527490832,248081
1527490835,248081
1527490838,248081
1527490841,248081
1527490844,248081
1527490847,248081
1527490850,248081
1527490853,248081
1527490856,248081
1527490859,248081
1527490862,248081
1527490865,248081
1527490868,248081
1527490871,248081
1527490874,248081
1527490877,12914426
1527490880,13078215
1527490883,13078215
1527490886,13078215
1527490889,13078215
1527490892,13078215
1527490895,13078215
1527490898,13078215
1527490901,13078215
1527490904,13078215
1527490907,13078215
1527490910,13078215
1527490913,13078215
1527490916,13078215
1527490919,13078215
1527490922,13078215
1527490925,13078215
1527490928,13078215
1527490931,13078215
1527490934,13078215
1527490937,13078215
1527490940,13078215
1527490943,13078215
1527490946,13078215
1527490949,13078215
1527490952,13078215
1527490955,13078215
1527490958,13078215
1527490961,13078215
1527490964,13078215
1527490967,13078215
1527490970,13078215
1527490973,13078215
1527490976,13078215
1527490979,13078215
1527490982,13078215
1527490985,13078215
1527490988,13078215
1527490991,13078215
1527490994,13078215
1527490997,13078215
1527491000,13078215
1527491003,13078215
1527491006,13078215
1527491009,13078215
1527491012,13078215
1527491015,13078215
1527491018,13078215
1527491021,13078215
1527491024,13078215
1527491027,13078215
1527491030,13078215
1527491033,13078215
1527491036,13078215
1527491039,13078215
1527491042,13078215
1527491045,13078215
1527491048,13078215
1527491051,13078215
1527491054,13078215
1527491057,13078215
1527491060,13078215
1527491063,13078215
1527491066,13078215
1527491069,13078215
1527491072,13078215
1527491075,13078215
1527491078,13078215
1527491081,13078215
1527491084,13078215
1527491087,13078215
1527491090,13078215
1527491093,13078215
1527491096,13078215
1527491099,13078215
1527491102,13078215
1527491105,13078215
1527491108,13078215
1527491111,13078215
1527491114,13078215
1527491117,13078215
1527491120,13078215
1527491123,13078215
1527491126,13078215
1527491129,13078215
1527491132,13078215
1527491135,13078215
1527491138,13078215
1527491141,13078215
1527491144,13078215
1527491147,13078215
1527491150,13078215
1527491153,13078215
1527491156,13078215
1527491159,13078215
1527491162,13078215
1527491165,13078215
1527491168,13078215
1527491171,13078215
1527491174,13078215
1527491177,13078215
1527491180,13078215
1527491183,13078215
1527491186,13078215
1527491189,13078215
1527491192,13078215
1527491195,13078215
1527491198,13078215
1527491201,13078215
1527491204,13078215
1527491207,13078215
1527491210,13078215
1527491213,13078215
1527491216,13078215
1527491219,13078215
1527491222,13078215
1527491225,13078215
1527491228,13078215
1527491231,13078215
1527491234,13078215
1527491237,13078215
1527491240,13078215
1527491243,13078215
1527491246,13078215
1527491249,13078215
1527491252,13078215
1527491255,13078215
1527491258,13078215
1527491261,13078215
1527491264,13078215
1527491267,13078215
1527491270,13078215
1527491273,13078215
1527491276,13078215
1527491279,13078215
1527491282,13078215
1527491285,13078215
1527491288,13078215
1527491291,13078215
1527491294,13078215
1527491297,13078215
1527491300,13078215
1527491303,13078215
1527491306,13078215
1527491309,13078215
1527491312,13078215
1527491315,13078215
1527491318,13078215
1527491321,13078215
1527491324,13078215
1527491327,13078215
1527491330,13078215
1527491333,13078215
1527491336,13078215
1527491339,13078215
1527491342,13078215
1527491345,13078215
1527491348,13078215
1527491351,13078215
1527491354,13078215
1527491357,13078215
1527491360,13078215
1527491363,13078215
1527491366,13078215
1527491369,13078215
1527491372,13078215
1527491375,13078215
1527491378,13078215
1527491381,13078215
1527491384,13078215
1527491387,13078215
1527491390,13078215
1527491393,13078215
1527491396,13078215
1527491399,13078215
1527491402,13078215
1527491405,13078215
1527491408,13078215
1527491411,13078215
1527491414,13078215
1527491417,13078215
1527491420,13078215
1527491423,13078215
1527491426,13078215
1527491429,13078215
1527491432,13078215
1527491435,13078215
1527491438,13078215
1527491441,13078215
1527491444,13078215
1527491447,13078215
1527491450,13078215
1527491453,13078215
1527491456,13078215
1527491459,13078215
1527491462,13078215
1527491465,13078215
1527491468,13078215
1527491471,13078215
1527491474,13078215
1527491477,13078215
1527491480,13078215
1527491483,13078215
1527491486,13078215
1527491489,13078215
1527491492,13078215
1527491495,13078215
1527491498,13078215
1527491501,13078215
1527491504,13078215
1527491507,13078215
1527491510,13078215
1527491513,13078215
1527491516,13078215
1527491519,13078215
1527491522,13078215
1527491525,13078215
1527491528,13078215
1527491531,13078215
1527491534,13078215
1527491537,13078215
1527491540,13078215
1527491543,13078215
1527491546,13078215
1527491549,13078215
1527491552,13078215
1527491555,13078215
1527491558,13078215
1527491561,13078215
1527491564,13078215
1527491567,13078215
1527491570,13078215
1527491573,13078215
1527491576,13078215
1527491579,13078215
1527491582,13053639
1527491585,13053639
1527491588,13053639
1527491591,13053639
1527491594,13053639
1527491597,13053639
1527491600,13053639
1527491603,13053639
1527491606,13053639
1527491609,13053639
1527491612,13053639
1527491615,13053639
1527491618,13053639
1527491621,13053639
1527491624,13053639
1527491627,13053639
1527491630,13053639
1527491633,13053639
1527491636,13053639
1527491639,13053639
1527491642,13053639
1527491645,13053639
1527491648,13053639
1527491651,13053639
1527491654,13053639
1527491657,13053639
1527491660,13053639
1527491663,13053639
1527491666,13053639
1527491669,13053639
1527491672,13053639
1527491675,13053639
1527491678,13053639
1527491681,13053639
1527491684,13053639
1527491687,13053639
1527491690,13053639
1527491693,13053639
1527491696,13053639
1527491699,13053639
1527491702,13053639
1527491705,13053639
1527491708,13053639
1527491711,13053639
1527491714,13053639
1527491717,13053639
1527491720,13053639
1527491723,13053639
1527491726,13053639
1527491729,13053639
1527491732,13053639
1527491735,13053639
1527491738,13053639
1527491741,13053639
1527491744,13053639
1527491747,13053639
1527491750,13053639
1527491753,13053639
1527491756,13053639
1527491759,13053639
1527491762,13053639
1527491765,13053639
1527491768,13053639
1527491771,13053639
1527491774,13053639
1527491777,13053639
1527491780,13053639
1527491783,13053639
1527491786,13053639
1527491789,13053639
1527491792,13053639
1527491795,13053639
1527491798,13053639
1527491801,13053639
1527491804,13053639
1527491807,13053639
1527491810,13053639
1527491813,13053639
1527491816,13053639
1527491819,13053639
1527491822,13053639
1527491825,13053639
1527491828,13053639
1527491831,13053639
1527491834,13053639
1527491837,13053639
1527491840,13053639
1527491843,13053639
1527491846,13053639
1527491849,13053639
1527491852,13053639
1527491855,13053639
1527491858,13053639
1527491861,13053639
1527491864,13053639
1527491867,13053639
1527491870,13053639
1527491873,13053639
1527491876,13053639
1527491879,13053639
1527491882,13053639
1527491885,13053639
1527491888,13053639
1527491891,13053639
1527491894,13053639
1527491897,13053639
1527491900,13053639
1527491903,13053639
1527491906,13053639
1527491909,13053639
1527491912,13053639
1527491915,13053639
1527491918,13053639
1527491921,13053639
1527491924,13053639
1527491927,13053639
1527491930,13053639
1527491933,13053639
1527491936,13053639
1527491939,13053639
1527491942,13053639
1527491945,13053639
1527491948,13053639
1527491951,13053639
1527491954,13053639
1527491957,13053639
1527491960,13053639
t,value
1527493552,200705
1527493555,200705
1527493558,200705
1527493561,200705
1527493564,200705
1527493567,200705
1527493570,200705
1527493573,200705
1527493576,200705
1527493579,200705
1527493582,200705
1527493585,200705
1527493588,200705
1527493591,200705
1527493594,200705
1527493597,200705
1527493600,200705
1527493603,243849
1527493606,239753
1527493609,239753
1527493612,239753
1527493615,239753
1527493618,239753
1527493621,239753
1527493624,239753
1527493627,239753
1527493630,239753
1527493633,239753
1527493636,239753
1527493639,239753
1527493642,239753
1527493645,239753
1527493648,239753
1527493651,239753
1527493654,239753
1527493657,239753
1527493660,239753
1527493663,239753
1527493666,239753
1527493669,239753
1527493672,239753
1527493675,239753
1527493678,239753
1527493681,239753
1527493684,239753
1527493687,239753
1527493690,239753
1527493693,239753
1527493696,239753
1527493699,239753
1527493702,239753
1527493705,239753
1527493708,239753
1527493711,239753
1527493714,239753
