t,value
1527490619,8602304
1527490622,9949504
1527490625,10199296
1527490628,10672640
1527490631,12354496
1527490634,13004288
1527490637,13049472
1527490640,13067136
1527490643,12587264
1527490646,12610560
1527490649,12664640
1527490652,12688768
1527490655,12701120
1527490658,12729216
1527490661,12760576
1527490664,12859008
1527490667,12863488
1527490670,12875200
1527490673,12901184
1527490676,12951104
1527490679,12994368
1527490682,13013184
1527490685,13020288
1527490688,13058560
1527490691,13065280
1527490694,13092864
1527490697,13094912
1527490700,13095680
1527490703,13095680
1527490706,13096512
1527490709,13098048
1527490712,13132096
1527490715,13134784
1527490718,13139328
1527490721,13139328
1527490724,13140416
1527490727,13146816
1527490730,13170752
1527490733,13179264
1527490736,13180160
1527490739,13188288
1527490742,13194688
1527490745,13220096
1527490748,13233152
1527490751,13240768
1527490754,13249472
1527490757,13260416
1527490760,13264640
1527490763,13265280
1527490766,13266944
1527490769,13268608
1527490772,13268608
1527490775,13408768
1527490778,13403008
1527490781,13409728
1527490784,13406656
1527490787,13404224
1527490790,13394496
1527490793,13386240
1527490796,13400576
1527490799,13413184
1527490802,13413184
1527490805,13418816
1527490808,13421056
1527490811,13421056
1527490814,13421056
1527490817,13436992
1527490820,13446336
1527490823,13448512
1527490826,13448512
1527490829,13449600
1527490832,13475776
1527490835,13492736
1527490838,13503936
1527490841,13507072
1527490844,13521344
1527490847,13521344
1527490850,13528896
1527490853,13536832
1527490856,13536832
1527490859,13584896
1527490862,13584896
1527490865,13598400
1527490868,13611904
1527490871,13640704
1527490874,13648576
1527490877,13695680
1527490880,13943104
1527490883,17684224
1527490886,17905280
1527490889,18027008
1527490892,18027584
1527490895,17987328
1527490898,17985984
1527490901,18118400
1527490904,18276352
1527490907,18291584
1527490910,18293952
1527490913,18296448
1527490916,18316032
1527490919,18303296
1527490922,18609728
1527490925,18609728
1527490928,18609728
1527490931,18631424
1527490934,18632320
1527490937,18635648
1527490940,18664320
1527490943,18863616
1527490946,18863616
1527490949,18863616
1527490952,18864768
1527490955,18866048
1527490958,18875904
1527490961,18902528
1527490964,18763840
1527490967,18763840
1527490970,18763840
1527490973,18769344
1527490976,18755008
1527490979,18753152
1527490982,18753152
1527490985,18755392
1527490988,18757952
1527490991,18758720
1527490994,18761536
1527490997,18759360
1527491000,18749632
1527491003,18750528
1527491006,18742848
1527491009,18742848
1527491012,18742848
1527491015,18715328
1527491018,18715328
1527491021,18715328
1527491024,18715328
1527491027,18715328
1527491030,18715328
1527491033,18715328
1527491036,18715328
1527491039,18729344
1527491042,18729344
1527491045,18729344
1527491048,18734720
1527491051,18739392
1527491054,18739392
1527491057,18740224
1527491060,18740224
1527491063,18740224
1527491066,18741568
1527491069,18741568
1527491072,18743552
1527491075,18744256
1527491078,18745472
1527491081,18757248
1527491084,18757248
1527491087,18757248
1527491090,18767168
1527491093,18767168
1527491096,18768192
1527491099,18776448
1527491102,18776448
1527491105,18776448
1527491108,18776448
1527491111,18776448
1527491114,18776448
1527491117,18777152
1527491120,18787264
1527491123,18787264
1527491126,18805440
1527491129,18805440
1527491132,18805440
1527491135,18816768
1527491138,18816768
1527491141,18816768
1527491144,18816768
1527491147,18816768
1527491150,18816768
1527491153,18816768
1527491156,18816768
1527491159,18817472
1527491162,18817472
1527491165,18817472
1527491168,18817472
1527491171,18817984
1527491174,18817984
1527491177,18819840
1527491180,18822400
1527491183,18822400
1527491186,18823616
1527491189,18823616
1527491192,18824320
1527491195,18834688
1527491198,18834688
1527491201,18834688
1527491204,18834688
1527491207,18839680
1527491210,18839680
1527491213,18839680
1527491216,18839680
1527491219,18870336
1527491222,18862848
1527491225,18892288
1527491228,18893184
1527491231,18891520
1527491234,18890624
1527491237,18890624
1527491240,18829952
1527491243,18829952
1527491246,18829952
1527491249,18830080
1527491252,18830080
1527491255,18827328
1527491258,18828096
1527491261,18828096
1527491264,18828096
1527491267,18832960
1527491270,18832960
1527491273,18832960
1527491276,18834816
1527491279,18842944
1527491282,18846400
1527491285,18894656
1527491288,18905984
1527491291,18905984
1527491294,18905984
1527491297,18907264
1527491300,18909568
1527491303,18909568
1527491306,18909568
1527491309,18909568
1527491312,18909568
1527491315,18915520
1527491318,18915520
1527491321,18915520
1527491324,18915520
1527491327,18921280
1527491330,18921280
1527491333,18921280
1527491336,18921280
1527491339,18942144
1527491342,18942144
1527491345,18942144
1527491348,18942144
1527491351,18942144
1527491354,18942144
1527491357,18942144
1527491360,18942144
1527491363,18942144
1527491366,18944384
1527491369,18954496
1527491372,18954496
1527491375,18954496
1527491378,18954496
1527491381,18960512
1527491384,18978688
