t,value
1527490619,4978584
1527490622,5895616
1527490625,6584464
1527490628,7465288
1527490631,8667840
1527490634,8969952
1527490637,8969952
1527490640,8969952
1527490643,8969952
1527490646,8969952
1527490649,8969952
1527490652,8969952
1527490655,8969952
1527490658,8969952
1527490661,8969952
1527490664,8969952
1527490667,8969952
1527490670,8969952
1527490673,8969952
1527490676,8969952
1527490679,8972368
1527490682,8972368
1527490685,8972368
1527490688,8972368
1527490691,8972368
1527490694,8972368
1527490697,8972368
1527490700,8972368
1527490703,8972368
1527490706,8972368
1527490709,8972368
1527490712,8972368
1527490715,8972368
1527490718,8972368
1527490721,8972368
1527490724,8972368
1527490727,8972368
1527490730,8972368
1527490733,8972368
1527490736,8972368
1527490739,8972368
1527490742,8972368
1527490745,8972368
1527490748,8972368
1527490751,8972368
1527490754,8972368
1527490757,8972368
1527490760,8972368
1527490763,8972368
1527490766,8972368
1527490769,8972368
1527490772,8972368
1527490775,8972368
1527490778,8972368
1527490781,8972368
1527490784,8972368
1527490787,8972368
1527490790,8972368
1527490793,8972368
1527490796,8972368
1527490799,8972368
1527490802,8972368
1527490805,8972368
1527490808,8972368
1527490811,8972368
1527490814,8972368
1527490817,8972368
1527490820,8972368
1527490823,8972368
1527490826,8972368
1527490829,8972368
1527490832,8972368
1527490835,8972368
1527490838,8972368
1527490841,8972368
1527490844,8972368
1527490847,8972368
1527490850,8972368
1527490853,8972368
1527490856,8972368
1527490859,8972368
1527490862,8972368
1527490865,8972368
1527490868,8972368
1527490871,8972368
1527490874,8972368
1527490877,8981544
1527490880,9236752
1527490883,9614696
1527490886,9815952
1527490889,9819368
1527490892,9819368
1527490895,9819368
1527490898,9819368
1527490901,9822984
1527490904,9822984
1527490907,9822984
1527490910,9822984
1527490913,9822984
1527490916,9822984
1527490919,9822984
1527490922,9822984
1527490925,9822984
1527490928,9822984
1527490931,9822984
1527490934,9822984
1527490937,9822984
1527490940,9822984
1527490943,9826752
1527490946,9826752
1527490949,9826752
1527490952,9826752
1527490955,9826752
1527490958,9826752
1527490961,9826752
1527490964,9827856
1527490967,9827856
1527490970,9827856
1527490973,9827856
1527490976,9827856
1527490979,9827856
1527490982,9827856
1527490985,9827856
1527490988,9827856
1527490991,9827856
1527490994,9827856
1527490997,9827856
1527491000,9827856
1527491003,9827856
1527491006,9827856
1527491009,9827856
1527491012,9827856
1527491015,9827856
1527491018,9827856
1527491021,9827856
1527491024,9827856
1527491027,9827856
1527491030,9827856
1527491033,9827856
1527491036,9827856
