t,value
1527490619,4194304
1527490622,173015040
1527490625,252706816
1527490628,39845888
1527490631,186646528
1527490634,20971520
1527490637,22020096
1527490640,22020096
1527490643,23068672
1527490646,23068672
1527490649,24117248
1527490652,24117248
1527490655,25165824
1527490658,26214400
1527490661,26214400
1527490664,27262976
1527490667,28311552
1527490670,28311552
1527490673,28311552
1527490676,29360128
1527490679,30408704
1527490682,31457280
1527490685,31457280
1527490688,31457280
1527490691,32505856
1527490694,33554432
1527490697,34603008
1527490700,34603008
1527490703,34603008
1527490706,35651584
1527490709,35651584
1527490712,35651584
1527490715,36700160
1527490718,36700160
1527490721,37748736
1527490724,37748736
1527490727,38797312
1527490730,38797312
1527490733,39845888
1527490736,39845888
1527490739,40894464
1527490742,40894464
1527490745,41943040
1527490748,41943040
1527490751,42991616
1527490754,42991616
1527490757,42991616
1527490760,44040192
1527490763,45088768
1527490766,45088768
1527490769,45088768
1527490772,46137344
1527490775,46137344
1527490778,47185920
1527490781,47185920
1527490784,48234496
1527490787,48234496
1527490790,49283072
1527490793,49283072
1527490796,50331648
1527490799,50331648
1527490802,51380224
1527490805,51380224
1527490808,51380224
1527490811,52428800
1527490814,52428800
1527490817,52428800
1527490820,53477376
1527490823,53477376
1527490826,54525952
1527490829,54525952
1527490832,55574528
1527490835,55574528
1527490838,56623104
1527490841,56623104
1527490844,56623104
1527490847,57671680
1527490850,57671680
1527490853,58720256
1527490856,58720256
1527490859,59768832
1527490862,60817408
1527490865,60817408
1527490868,60817408
1527490871,61865984
1527490874,61865984
1527490877,66060288
1527490880,95420416
1527490883,154140672
1527490886,175112192
1527490889,177209344
1527490892,177209344
1527490895,178257920
1527490898,178257920
1527490901,182452224
1527490904,183500800
1527490907,184549376
1527490910,184549376
1527490913,185597952
1527490916,185597952
1527490919,185597952
1527490922,190840832
1527490925,191889408
1527490928,191889408
1527490931,192937984
1527490934,192937984
1527490937,192937984
1527490940,193986560
1527490943,198180864
1527490946,199229440
1527490949,199229440
1527490952,199229440
1527490955,200278016
1527490958,200278016
1527490961,201326592
1527490964,205520896
1527490967,205520896
1527490970,205520896
1527490973,206569472
1527490976,206569472
1527490979,207618048
1527490982,208666624
1527490985,208666624
1527490988,208666624
1527490991,209715200
1527490994,209715200
1527490997,210763776
1527491000,210763776
1527491003,210763776
1527491006,211812352
1527491009,211812352
1527491012,212860928
1527491015,212860928
1527491018,213909504
1527491021,213909504
1527491024,213909504
1527491027,214958080
1527491030,214958080
1527491033,216006656
1527491036,216006656
1527491039,216006656
1527491042,217055232
1527491045,217055232
1527491048,218103808
1527491051,218103808
1527491054,219152384
1527491057,219152384
1527491060,219152384
1527491063,220200960
1527491066,220200960
1527491069,221249536
1527491072,221249536
1527491075,221249536
1527491078,222298112
1527491081,222298112
1527491084,223346688
1527491087,223346688
1527491090,224395264
1527491093,224395264
1527491096,224395264
1527491099,225443840
1527491102,225443840
1527491105,226492416
1527491108,226492416
1527491111,226492416
1527491114,227540992
1527491117,227540992
1527491120,228589568
1527491123,228589568
1527491126,228589568
1527491129,229638144
1527491132,229638144
1527491135,230686720
1527491138,230686720
1527491141,230686720
1527491144,231735296
1527491147,231735296
1527491150,232783872
1527491153,232783872
1527491156,232783872
1527491159,233832448
1527491162,234881024
1527491165,234881024
1527491168,235929600
1527491171,235929600
1527491174,235929600
1527491177,236978176
1527491180,236978176
1527491183,238026752
1527491186,238026752
1527491189,238026752
1527491192,239075328
1527491195,239075328
1527491198,240123904
1527491201,240123904
1527491204,241172480
1527491207,241172480
1527491210,241172480
1527491213,242221056
1527491216,242221056
1527491219,244318208
1527491222,245366784
1527491225,245366784
1527491228,246415360
1527491231,246415360
1527491234,247463936
1527491237,247463936
1527491240,247463936
1527491243,248512512
1527491246,248512512
1527491249,249561088
1527491252,249561088
1527491255,249561088
1527491258,250609664
1527491261,250609664
1527491264,251658240
1527491267,251658240
1527491270,251658240
1527491273,252706816
1527491276,252706816
1527491279,253755392
1527491282,253755392
1527491285,254803968
1527491288,254803968
1527491291,255852544
1527491294,255852544
1527491297,255852544
1527491300,256901120
1527491303,256901120
1527491306,257949696
1527491309,257949696
1527491312,258998272
1527491315,258998272
1527491318,258998272
1527491321,260046848
1527491324,260046848
1527491327,261095424
1527491330,261095424
1527491333,262144000
1527491336,262144000
1527491339,263192576
1527491342,263192576
1527491345,263192576
1527491348,264241152
1527491351,264241152
1527491354,265289728
1527491357,265289728
1527491360,266338304
1527491363,266338304
1527491366,266338304
1527491369,267386880
1527491372,267386880
1527491375,268435456
1527491378,268435456
1527491381,268435456
1527491384,269484032
1527491387,269484032
1527491390,270532608
1527491393,270532608
1527491396,270532608
1527491399,271581184
1527491402,271581184
1527491405,272629760
1527491408,272629760
1527491411,272629760
1527491414,273678336
1527491417,273678336
1527491420,274726912
1527491423,274726912
1527491426,275775488
1527491429,275775488
1527491432,275775488
1527491435,276824064
1527491438,276824064
1527491441,277872640
1527491444,277872640
1527491447,277872640
1527491450,278921216
1527491453,278921216
1527491456,278921216
1527491459,279969792
1527491462,279969792
1527491465,281018368
1527491468,281018368
1527491471,282066944
1527491474,282066944
1527491477,282066944
1527491480,283115520
1527491483,283115520
1527491486,284164096
1527491489,284164096
1527491492,284164096
1527491495,285212672
1527491498,285212672
1527491501,293601280
1527491504,293601280
1527491507,294649856
1527491510,294649856
1527491513,294649856
1527491516,295698432
1527491519,296747008
1527491522,299892736
1527491525,300941312
1527491528,300941312
1527491531,301989888
1527491534,301989888
1527491537,301989888
1527491540,306184192
1527491543,306184192
1527491546,307232768
1527491549,307232768
1527491552,307232768
1527491555,308281344
1527491558,308281344
1527491561,312475648
1527491564,312475648
1527491567,313524224
1527491570,313524224
1527491573,314572800
1527491576,314572800
1527491579,315621376
1527491582,3145728
1527491585,4194304
1527491588,5242880
1527491591,5242880
1527491594,5242880
1527491597,6291456
1527491600,10485760
1527491603,11534336
1527491606,11534336
1527491609,12582912
1527491612,12582912
1527491615,12582912
1527491618,13631488
1527491621,17825792
1527491624,18874368
1527491627,18874368
1527491630,18874368
1527491633,19922944
1527491636,19922944
1527491639,20971520
1527491642,25165824
1527491645,26214400
1527491648,26214400
1527491651,26214400
1527491654,27262976
1527491657,27262976
1527491660,32505856
1527491663,32505856
1527491666,33554432
1527491669,33554432
1527491672,33554432
1527491675,34603008
1527491678,34603008
1527491681,38797312
1527491684,38797312
1527491687,39845888
1527491690,39845888
1527491693,40894464
1527491696,40894464
1527491699,41943040
1527491702,46137344
1527491705,46137344
1527491708,47185920
1527491711,47185920
1527491714,48234496
1527491717,48234496
1527491720,51380224
1527491723,52428800
1527491726,52428800
1527491729,53477376
1527491732,53477376
1527491735,54525952
1527491738,54525952
1527491741,57671680
1527491744,58720256
1527491747,58720256
1527491750,59768832
1527491753,59768832
1527491756,59768832
1527491759,60817408
1527491762,65011712
1527491765,66060288
1527491768,66060288
1527491771,66060288
1527491774,67108864
1527491777,67108864
1527491780,70254592
1527491783,71303168
1527491786,71303168
1527491789,72351744
1527491792,72351744
1527491795,73400320
1527491798,73400320
1527491801,76546048
1527491804,77594624
1527491807,77594624
1527491810,78643200
1527491813,78643200
1527491816,78643200
1527491819,79691776
1527491822,83886080
1527491825,84934656
1527491828,84934656
1527491831,84934656
1527491834,85983232
1527491837,85983232
1527491840,89128960
1527491843,90177536
1527491846,90177536
1527491849,91226112
1527491852,91226112
1527491855,91226112
1527491858,92274688
1527491861,96468992
1527491864,96468992
1527491867,96468992
1527491870,97517568
1527491873,97517568
1527491876,98566144
1527491879,98566144
1527491882,102760448
1527491885,102760448
1527491888,103809024
1527491891,103809024
1527491894,103809024
1527491897,104857600
1527491900,109051904
1527491903,109051904
1527491906,110100480
1527491909,110100480
1527491912,110100480
1527491915,111149056
1527491918,111149056
1527491921,115343360
1527491924,115343360
1527491927,116391936
1527491930,116391936
1527491933,116391936
1527491936,117440512
1527491939,118489088
1527491942,121634816
1527491945,122683392
1527491948,122683392
1527491951,123731968
1527491954,123731968
1527491957,124780544
1527491960,125829120
t,value
1527493552,192937984
1527493555,38797312
1527493558,125829120
1527493561,136314880
1527493564,145752064
1527493567,154140672
1527493570,165675008
1527493573,185597952
1527493576,202375168
1527493579,213909504
1527493582,230686720
1527493585,254803968
1527493588,270532608
1527493591,1048576
1527493594,38797312
1527493597,67108864
1527493600,140509184
1527493603,185597952
1527493606,27262976
1527493609,44040192
1527493612,103809024
1527493615,145752064
1527493618,148897792
1527493621,148897792
1527493624,149946368
1527493627,149946368
1527493630,150994944
1527493633,158334976
1527493636,159383552
1527493639,159383552
1527493642,160432128
1527493645,160432128
1527493648,161480704
1527493651,168820736
1527493654,168820736
1527493657,169869312
1527493660,169869312
1527493663,170917888
1527493666,171966464
1527493669,171966464
1527493672,179306496
1527493675,179306496
1527493678,180355072
