t,value
1527490619,3670016
1527490622,3670016
1527490625,3670016
1527490628,4718592
1527490631,4718592
1527490634,36175888
1527490637,36175888
1527490640,36175888
1527490643,36175888
1527490646,36175888
1527490649,36175888
1527490652,36175888
1527490655,36175888
1527490658,36175888
1527490661,36175888
1527490664,36175888
1527490667,36175888
1527490670,36175888
1527490673,36175888
1527490676,36175888
1527490679,36175888
1527490682,36175888
1527490685,36175888
1527490688,36175888
1527490691,36175888
1527490694,36175888
1527490697,36175888
1527490700,36175888
1527490703,36175888
1527490706,36175888
1527490709,36175888
1527490712,36175888
1527490715,36175888
1527490718,36175888
1527490721,36175888
1527490724,36175888
1527490727,36175888
1527490730,36175888
1527490733,36175888
1527490736,36175888
1527490739,36175888
1527490742,36175888
1527490745,36175888
1527490748,36175888
1527490751,36175888
1527490754,36175888
1527490757,36175888
1527490760,36175888
1527490763,36175888
1527490766,36175888
1527490769,36175888
1527490772,36175888
1527490775,36175888
1527490778,36175888
1527490781,36175888
1527490784,36175888
1527490787,36175888
1527490790,36175888
1527490793,36175888
1527490796,36175888
1527490799,36175888
1527490802,36175888
1527490805,36175888
1527490808,36175888
1527490811,36175888
1527490814,36175888
1527490817,36175888
1527490820,36175888
1527490823,36175888
1527490826,36175888
1527490829,36175888
1527490832,36175888
1527490835,36175888
1527490838,36175888
1527490841,36175888
1527490844,36175888
1527490847,36175888
1527490850,36175888
1527490853,36175888
1527490856,36175888
1527490859,36175888
1527490862,36175888
1527490865,36175888
1527490868,36175888
1527490871,36175888
1527490874,36175888
1527490877,36175888
1527490880,36175888
1527490883,36175888
1527490886,36175888
1527490889,36175888
1527490892,36175888
1527490895,36175888
1527490898,36175888
1527490901,36175888
1527490904,36175888
1527490907,36175888
1527490910,36175888
1527490913,36175888
1527490916,36175888
1527490919,36175888
1527490922,36175888
1527490925,36175888
1527490928,36175888
1527490931,36175888
1527490934,36175888
1527490937,36175888
1527490940,36175888
1527490943,36175888
1527490946,36175888
1527490949,36175888
1527490952,36175888
1527490955,36175888
1527490958,36175888
1527490961,36175888
1527490964,36175888
1527490967,36175888
1527490970,36175888
1527490973,36175888
1527490976,36175888
1527490979,36175888
1527490982,36175888
1527490985,36175888
1527490988,36175888
1527490991,36175888
1527490994,36175888
1527490997,36175888
1527491000,36175888
1527491003,36175888
1527491006,36175888
1527491009,36175888
1527491012,36175888
1527491015,36175888
1527491018,36175888
1527491021,36175888
1527491024,36175888
1527491027,36175888
1527491030,36175888
1527491033,36175888
1527491036,36175888
1527491039,36175888
1527491042,36175888
1527491045,36175888
1527491048,36175888
1527491051,36175888
1527491054,36175888
1527491057,36175888
1527491060,36175888
1527491063,36175888
1527491066,36175888
1527491069,36175888
1527491072,36175888
1527491075,36175888
1527491078,36175888
1527491081,36175888
1527491084,36175888
1527491087,36175888
1527491090,36175888
1527491093,36175888
1527491096,36175888
1527491099,36175888
1527491102,36175888
1527491105,36175888
1527491108,36175888
1527491111,36175888
1527491114,36175888
1527491117,36175888
1527491120,36175888
1527491123,36175888
1527491126,36175888
1527491129,36175888
1527491132,36175888
1527491135,36175888
1527491138,36175888
1527491141,36175888
1527491144,36175888
1527491147,36175888
1527491150,36175888
1527491153,36175888
1527491156,36175888
1527491159,36175888
1527491162,36175888
1527491165,36175888
1527491168,36175888
1527491171,36175888
1527491174,36175888
1527491177,36175888
1527491180,36175888
1527491183,36175888
1527491186,36175888
1527491189,36175888
1527491192,36175888
1527491195,36175888
1527491198,36175888
1527491201,36175888
1527491204,36175888
1527491207,36175888
1527491210,36175888
1527491213,36175888
1527491216,36175888
1527491219,36175888
1527491222,36175888
1527491225,36175888
1527491228,36175888
1527491231,36175888
1527491234,36175888
1527491237,36175888
1527491240,36175888
1527491243,36175888
1527491246,36175888
1527491249,36175888
1527491252,36175888
1527491255,36175888
1527491258,36175888
1527491261,36175888
1527491264,36175888
1527491267,36175888
1527491270,36175888
1527491273,36175888
1527491276,36175888
1527491279,36175888
1527491282,36175888
1527491285,36175888
1527491288,36175888
1527491291,36175888
1527491294,36175888
1527491297,36175888
1527491300,36175888
1527491303,36175888
1527491306,36175888
1527491309,36175888
1527491312,36175888
1527491315,36175888
1527491318,36175888
1527491321,36175888
1527491324,36175888
1527491327,36175888
1527491330,36175888
1527491333,36175888
1527491336,36175888
1527491339,36175888
1527491342,36175888
1527491345,36175888
1527491348,36175888
1527491351,36175888
1527491354,36175888
1527491357,36175888
1527491360,36175888
1527491363,36175888
1527491366,36175888
1527491369,36175888
1527491372,36175888
1527491375,36175888
1527491378,36175888
1527491381,36175888
1527491384,36175888
1527491387,36175888
1527491390,36175888
1527491393,36175888
1527491396,36175888
1527491399,36175888
1527491402,36175888
1527491405,36175888
1527491408,36175888
1527491411,36175888
1527491414,36175888
1527491417,36175888
1527491420,36175888
1527491423,36175888
1527491426,36175888
1527491429,36175888
1527491432,36175888
1527491435,36175888
1527491438,36175888
1527491441,36175888
1527491444,36175888
1527491447,36175888
1527491450,36175888
1527491453,36175888
1527491456,36175888
1527491459,36175888
1527491462,36175888
1527491465,36175888
1527491468,36175888
1527491471,36175888
1527491474,36175888
1527491477,36175888
1527491480,36175888
1527491483,36175888
1527491486,36175888
1527491489,36175888
1527491492,36175888
1527491495,36175888
1527491498,36175888
1527491501,36175888
1527491504,36175888
1527491507,36175888
1527491510,36175888
1527491513,36175888
1527491516,36175888
1527491519,36175888
1527491522,36175888
1527491525,36175888
1527491528,36175888
1527491531,36175888
1527491534,36175888
1527491537,36175888
1527491540,36175888
1527491543,36175888
1527491546,36175888
1527491549,36175888
1527491552,36175888
1527491555,36175888
1527491558,36175888
1527491561,36175888
1527491564,36175888
1527491567,36175888
1527491570,36175888
1527491573,36175888
1527491576,36175888
1527491579,36175888
1527491582,36175872
1527491585,36175872
1527491588,36175872
1527491591,36175872
1527491594,36175872
1527491597,36175872
1527491600,36175872
1527491603,36175872
1527491606,36175872
1527491609,36175872
1527491612,36175872
1527491615,36175872
1527491618,36175872
1527491621,36175872
1527491624,36175872
1527491627,36175872
1527491630,36175872
1527491633,36175872
