t,value
1527490619,18874368
1527490622,18874368
1527490625,18874368
1527490628,39845888
1527490631,39845888
1527490634,4194304
1527490637,4194304
1527490640,4194304
1527490643,4194304
1527490646,4194304
1527490649,4194304
1527490652,4194304
1527490655,4194304
1527490658,4194304
1527490661,4194304
1527490664,4194304
1527490667,4194304
1527490670,4194304
1527490673,4194304
1527490676,4194304
1527490679,4194304
1527490682,4194304
1527490685,4194304
1527490688,4194304
1527490691,4194304
1527490694,4194304
1527490697,4194304
1527490700,4194304
1527490703,4194304
1527490706,4194304
1527490709,4194304
1527490712,4194304
1527490715,4194304
1527490718,4194304
1527490721,4194304
1527490724,4194304
1527490727,4194304
1527490730,4194304
1527490733,4194304
1527490736,4194304
1527490739,4194304
1527490742,4194304
1527490745,4194304
1527490748,4194304
1527490751,4194304
1527490754,4194304
1527490757,4194304
1527490760,4194304
1527490763,4194304
1527490766,4194304
1527490769,4194304
1527490772,4194304
1527490775,4194304
1527490778,4194304
1527490781,4194304
1527490784,4194304
1527490787,4194304
1527490790,4194304
1527490793,4194304
1527490796,4194304
1527490799,4194304
1527490802,4194304
1527490805,4194304
1527490808,4194304
1527490811,4194304
1527490814,4194304
1527490817,4194304
1527490820,4194304
1527490823,4194304
1527490826,4194304
1527490829,4194304
1527490832,4194304
1527490835,4194304
1527490838,4194304
1527490841,4194304
1527490844,4194304
1527490847,4194304
1527490850,4194304
1527490853,4194304
1527490856,4194304
1527490859,4194304
1527490862,4194304
1527490865,4194304
1527490868,4194304
1527490871,4194304
1527490874,4194304
1527490877,4194304
1527490880,4194304
1527490883,4194304
1527490886,4194304
1527490889,4194304
1527490892,4194304
1527490895,4194304
1527490898,4194304
1527490901,4194304
1527490904,4194304
1527490907,4194304
1527490910,4194304
1527490913,4194304
1527490916,4194304
1527490919,4194304
1527490922,4194304
1527490925,4194304
1527490928,4194304
1527490931,4194304
1527490934,4194304
1527490937,4194304
1527490940,4194304
1527490943,4194304
1527490946,4194304
1527490949,4194304
1527490952,4194304
1527490955,4194304
1527490958,4194304
1527490961,4194304
1527490964,4194304
1527490967,4194304
1527490970,4194304
1527490973,4194304
1527490976,4194304
1527490979,4194304
1527490982,4194304
1527490985,4194304
1527490988,4194304
1527490991,4194304
1527490994,4194304
1527490997,4194304
1527491000,4194304
1527491003,4194304
1527491006,4194304
1527491009,4194304
1527491012,4194304
1527491015,4194304
1527491018,4194304
1527491021,4194304
1527491024,4194304
1527491027,4194304
1527491030,4194304
1527491033,4194304
1527491036,4194304
1527491039,4194304
1527491042,4194304
1527491045,4194304
1527491048,4194304
1527491051,4194304
1527491054,4194304
1527491057,4194304
1527491060,4194304
1527491063,4194304
1527491066,4194304
1527491069,4194304
1527491072,4194304
1527491075,4194304
1527491078,4194304
1527491081,4194304
1527491084,4194304
1527491087,4194304
1527491090,4194304
1527491093,4194304
1527491096,4194304
1527491099,4194304
1527491102,4194304
1527491105,4194304
1527491108,4194304
1527491111,4194304
1527491114,4194304
1527491117,4194304
1527491120,4194304
1527491123,4194304
1527491126,4194304
1527491129,4194304
1527491132,4194304
1527491135,4194304
1527491138,4194304
1527491141,4194304
1527491144,4194304
1527491147,4194304
1527491150,4194304
1527491153,4194304
1527491156,4194304
1527491159,4194304
1527491162,4194304
1527491165,4194304
1527491168,4194304
1527491171,4194304
1527491174,4194304
1527491177,4194304
1527491180,4194304
1527491183,4194304
1527491186,4194304
1527491189,4194304
1527491192,4194304
1527491195,4194304
1527491198,4194304
1527491201,4194304
1527491204,4194304
1527491207,4194304
1527491210,4194304
1527491213,4194304
1527491216,4194304
1527491219,4194304
1527491222,4194304
1527491225,4194304
1527491228,4194304
1527491231,4194304
1527491234,4194304
1527491237,4194304
1527491240,4194304
1527491243,4194304
1527491246,4194304
1527491249,4194304
1527491252,4194304
1527491255,4194304
1527491258,4194304
1527491261,4194304
1527491264,4194304
1527491267,4194304
1527491270,4194304
1527491273,4194304
1527491276,4194304
1527491279,4194304
1527491282,4194304
1527491285,4194304
1527491288,4194304
1527491291,4194304
1527491294,4194304
1527491297,4194304
1527491300,4194304
1527491303,4194304
1527491306,4194304
1527491309,4194304
1527491312,4194304
1527491315,4194304
1527491318,4194304
1527491321,4194304
1527491324,4194304
1527491327,4194304
1527491330,4194304
1527491333,4194304
1527491336,4194304
1527491339,4194304
1527491342,4194304
1527491345,4194304
1527491348,4194304
1527491351,4194304
1527491354,4194304
1527491357,4194304
1527491360,4194304
1527491363,4194304
1527491366,4194304
1527491369,4194304
1527491372,4194304
1527491375,4194304
1527491378,4194304
1527491381,4194304
1527491384,4194304
1527491387,4194304
1527491390,4194304
1527491393,4194304
1527491396,4194304
1527491399,4194304
1527491402,4194304
1527491405,4194304
1527491408,4194304
1527491411,4194304
1527491414,4194304
1527491417,4194304
1527491420,4194304
1527491423,4194304
1527491426,4194304
1527491429,4194304
1527491432,4194304
1527491435,4194304
1527491438,4194304
1527491441,4194304
1527491444,4194304
1527491447,4194304
1527491450,4194304
1527491453,4194304
1527491456,4194304
1527491459,4194304
1527491462,4194304
1527491465,4194304
1527491468,4194304
1527491471,4194304
1527491474,4194304
1527491477,4194304
1527491480,4194304
1527491483,4194304
1527491486,4194304
1527491489,4194304
1527491492,4194304
1527491495,4194304
1527491498,4194304
1527491501,4194304
1527491504,4194304
1527491507,4194304
1527491510,4194304
1527491513,4194304
1527491516,4194304
1527491519,4194304
1527491522,4194304
1527491525,4194304
1527491528,4194304
1527491531,4194304
1527491534,4194304
1527491537,4194304
1527491540,4194304
1527491543,4194304
1527491546,4194304
1527491549,4194304
1527491552,4194304
1527491555,4194304
1527491558,4194304
1527491561,4194304
1527491564,4194304
1527491567,4194304
1527491570,4194304
1527491573,4194304
1527491576,4194304
1527491579,4194304
1527491582,14680064
1527491585,14680064
1527491588,14680064
1527491591,14680064
1527491594,14680064
1527491597,14680064
1527491600,14680064
1527491603,14680064
1527491606,14680064
1527491609,14680064
1527491612,14680064
1527491615,14680064
1527491618,14680064
1527491621,14680064
1527491624,14680064
1527491627,14680064
1527491630,14680064
1527491633,14680064
1527491636,14680064
1527491639,14680064
1527491642,14680064
1527491645,14680064
1527491648,14680064
1527491651,14680064
1527491654,14680064
1527491657,14680064
1527491660,14680064
1527491663,14680064
1527491666,14680064
1527491669,14680064
1527491672,14680064
1527491675,14680064
1527491678,14680064
1527491681,14680064
1527491684,14680064
1527491687,14680064
1527491690,14680064
1527491693,14680064
1527491696,14680064
1527491699,14680064
1527491702,14680064
1527491705,14680064
1527491708,14680064
1527491711,14680064
1527491714,14680064
1527491717,14680064
1527491720,14680064
1527491723,14680064
1527491726,14680064
1527491729,14680064
1527491732,14680064
1527491735,14680064
1527491738,14680064
1527491741,14680064
1527491744,14680064
1527491747,14680064
1527491750,14680064
1527491753,14680064
1527491756,14680064
1527491759,14680064
1527491762,14680064
1527491765,14680064
1527491768,14680064
1527491771,14680064
1527491774,14680064
1527491777,14680064
1527491780,14680064
1527491783,14680064
1527491786,14680064
1527491789,14680064
1527491792,14680064
1527491795,14680064
1527491798,14680064
1527491801,14680064
1527491804,14680064
1527491807,14680064
1527491810,14680064
1527491813,14680064
1527491816,14680064
1527491819,14680064
1527491822,14680064
1527491825,14680064
1527491828,14680064
1527491831,14680064
1527491834,14680064
1527491837,14680064
1527491840,14680064
1527491843,14680064
1527491846,14680064
1527491849,14680064
1527491852,14680064
1527491855,14680064
1527491858,14680064
1527491861,14680064
1527491864,14680064
1527491867,14680064
1527491870,14680064
1527491873,14680064
1527491876,14680064
1527491879,14680064
1527491882,14680064
1527491885,14680064
1527491888,14680064
1527491891,14680064
1527491894,14680064
1527491897,14680064
1527491900,14680064
1527491903,14680064
1527491906,14680064
1527491909,14680064
1527491912,14680064
1527491915,14680064
1527491918,14680064
1527491921,14680064
1527491924,14680064
1527491927,14680064
1527491930,14680064
1527491933,14680064
1527491936,14680064
1527491939,14680064
1527491942,14680064
1527491945,14680064
1527491948,14680064
1527491951,14680064
1527491954,14680064
1527491957,14680064
1527491960,14680064
t,value
1527493552,26214400
1527493555,32505856
1527493558,32505856
1527493561,32505856
1527493564,32505856
1527493567,32505856
1527493570,32505856
1527493573,32505856
1527493576,32505856
1527493579,32505856
1527493582,32505856
1527493585,32505856
1527493588,32505856
1527493591,40894464
1527493594,40894464
1527493597,40894464
1527493600,40894464
1527493603,40894464
1527493606,32505856
1527493609,32505856
1527493612,32505856
1527493615,32505856
1527493618,32505856
1527493621,32505856
1527493624,32505856
1527493627,32505856
1527493630,32505856
1527493633,32505856
1527493636,32505856
1527493639,32505856
1527493642,32505856
