t,value
1527490619,34845504
1527490622,39070848
1527490625,43638000
1527490628,49118080
1527490631,58523896
1527490634,60584064
1527490637,60593320
1527490640,60603960
1527490643,60619064
1527490646,60621616
1527490649,60622976
1527490652,60623952
1527490655,60624336
1527490658,60631584
1527490661,60643144
1527490664,60672728
1527490667,60674352
1527490670,60675936
1527490673,60680464
1527490676,60682760
1527490679,60703304
1527490682,60707128
1527490685,60710352
1527490688,60719864
1527490691,60720544
1527490694,60723840
1527490697,60723840
1527490700,60723840
1527490703,60723840
1527490706,60724184
1527490709,60734008
1527490712,60734728
1527490715,60735560
1527490718,60737312
1527490721,60737312
1527490724,60737696
1527490727,60739584
1527490730,60749752
1527490733,60749752
1527490736,60749752
1527490739,60750056
1527490742,60752144
1527490745,60754592
1527490748,60758256
1527490751,60760288
1527490754,60762288
1527490757,60763480
1527490760,60765416
1527490763,60765416
1527490766,60765416
1527490769,60765416
1527490772,60765416
1527490775,60765416
1527490778,60765416
1527490781,60770984
1527490784,60771824
1527490787,60777256
1527490790,60777592
1527490793,60780128
1527490796,60783728
1527490799,60787744
1527490802,60787744
1527490805,60789416
1527490808,60789904
1527490811,60789904
1527490814,60789904
1527490817,60797568
1527490820,60799184
1527490823,60799728
1527490826,60799728
1527490829,60800176
1527490832,60800176
1527490835,60801808
1527490838,60802568
1527490841,60802568
1527490844,60802568
1527490847,60802568
1527490850,60802568
1527490853,60803488
1527490856,60803488
1527490859,60804896
1527490862,60804896
1527490865,60807208
1527490868,60808648
1527490871,60814144
1527490874,60816128
1527490877,60924224
1527490880,62591840
1527490883,65341104
1527490886,66401848
1527490889,66481976
1527490892,66481976
1527490895,66481976
1527490898,66482608
1527490901,66545712
1527490904,66575824
1527490907,66576168
1527490910,66576560
1527490913,66576560
1527490916,66576560
1527490919,66578408
1527490922,66642808
1527490925,66642808
1527490928,66645792
1527490931,66652776
1527490934,66653128
1527490937,66653856
1527490940,66661392
1527490943,66726952
1527490946,66726952
1527490949,66726952
1527490952,66727408
1527490955,66727784
1527490958,66727784
1527490961,66728464
1527490964,66780624
1527490967,66780624
1527490970,66780624
1527490973,66780624
1527490976,66780624
1527490979,66783904
1527490982,66783904
1527490985,66785928
1527490988,66786480
1527490991,66786480
1527490994,66789424
1527490997,66789424
1527491000,66790904
1527491003,66792048
1527491006,66792048
1527491009,66792048
1527491012,66792048
1527491015,66792048
1527491018,66792048
1527491021,66792048
1527491024,66792048
1527491027,66792048
1527491030,66792048
1527491033,66792048
1527491036,66792048
1527491039,66795480
1527491042,66795480
1527491045,66795480
1527491048,66795480
1527491051,66797064
1527491054,66797064
1527491057,66797352
1527491060,66797352
1527491063,66797352
1527491066,66797352
1527491069,66797352
1527491072,66797352
1527491075,66797352
1527491078,66797352
1527491081,66797352
1527491084,66797352
1527491087,66797352
1527491090,66797352
1527491093,66797352
1527491096,66797352
1527491099,66798472
1527491102,66798472
1527491105,66798472
1527491108,66798472
1527491111,66798472
1527491114,66798472
1527491117,66798472
1527491120,66798472
1527491123,66798472
1527491126,66803152
1527491129,66803152
1527491132,66803152
1527491135,66804896
1527491138,66804896
1527491141,66804896
1527491144,66804896
1527491147,66804896
1527491150,66804896
1527491153,66804896
1527491156,66804896
1527491159,66804896
1527491162,66804896
1527491165,66804896
1527491168,66804896
1527491171,66804896
1527491174,66804896
1527491177,66804896
1527491180,66804896
1527491183,66804896
1527491186,66805272
1527491189,66805272
1527491192,66806432
1527491195,66808496
1527491198,66808496
1527491201,66808496
1527491204,66808496
1527491207,66809272
1527491210,66809272
1527491213,66809272
1527491216,66809272
1527491219,67140248
1527491222,67140248
1527491225,67149992
1527491228,67149992
1527491231,67149992
1527491234,67149992
1527491237,67149992
1527491240,67149992
1527491243,67149992
1527491246,67149992
1527491249,67150368
1527491252,67150368
1527491255,67150368
1527491258,67150368
1527491261,67150368
1527491264,67150368
1527491267,67151888
1527491270,67151888
1527491273,67151888
1527491276,67151888
1527491279,67152920
1527491282,67152920
1527491285,67152920
1527491288,67153640
1527491291,67153992
1527491294,67153992
1527491297,67154296
1527491300,67154296
1527491303,67154296
1527491306,67154296
1527491309,67154296
1527491312,67154296
1527491315,67155344
1527491318,67155344
1527491321,67155344
1527491324,67155344
1527491327,67155344
1527491330,67155344
1527491333,67155344
1527491336,67156344
1527491339,67161184
1527491342,67161184
1527491345,67161184
1527491348,67161184
1527491351,67161184
1527491354,67161184
1527491357,67161184
1527491360,67161184
1527491363,67161184
1527491366,67161616
1527491369,67164352
1527491372,67164352
1527491375,67164352
1527491378,67164352
1527491381,67166120
1527491384,67172920
1527491387,67174040
