t,value
1527490619,26
1527490622,26
1527490625,27
1527490628,30
1527490631,48
1527490634,55
1527490637,55
1527490640,55
1527490643,55
1527490646,54
1527490649,53
1527490652,53
1527490655,53
1527490658,53
1527490661,52
1527490664,52
1527490667,52
1527490670,52
1527490673,52
1527490676,51
1527490679,51
1527490682,51
1527490685,51
1527490688,51
1527490691,51
1527490694,50
1527490697,50
1527490700,50
1527490703,50
1527490706,50
1527490709,50
1527490712,50
1527490715,50
1527490718,50
1527490721,50
1527490724,50
1527490727,50
1527490730,50
1527490733,50
1527490736,50
1527490739,50
1527490742,50
1527490745,50
1527490748,50
1527490751,50
1527490754,49
1527490757,49
1527490760,49
1527490763,49
1527490766,49
1527490769,49
1527490772,49
1527490775,49
1527490778,49
1527490781,49
1527490784,49
1527490787,49
1527490790,49
1527490793,49
1527490796,49
1527490799,49
1527490802,49
1527490805,49
1527490808,49
1527490811,49
1527490814,48
1527490817,48
1527490820,48
1527490823,48
1527490826,48
1527490829,48
1527490832,48
1527490835,48
1527490838,48
1527490841,48
1527490844,48
1527490847,48
1527490850,48
1527490853,48
1527490856,48
1527490859,48
1527490862,48
1527490865,48
1527490868,48
1527490871,48
1527490874,48
1527490877,54
1527490880,58
1527490883,62
1527490886,63
1527490889,64
1527490892,64
1527490895,64
1527490898,64
1527490901,66
1527490904,66
1527490907,66
1527490910,66
1527490913,66
1527490916,65
1527490919,65
1527490922,66
1527490925,66
1527490928,66
1527490931,66
1527490934,66
1527490937,65
1527490940,64
1527490943,65
1527490946,65
1527490949,65
1527490952,65
1527490955,65
1527490958,64
1527490961,64
1527490964,65
1527490967,65
1527490970,65
1527490973,65
1527490976,64
1527490979,64
1527490982,64
1527490985,64
1527490988,64
1527490991,64
1527490994,63
1527490997,63
1527491000,62
1527491003,62
1527491006,62
1527491009,62
1527491012,62
1527491015,62
1527491018,62
1527491021,62
1527491024,62
1527491027,62
1527491030,62
1527491033,62
1527491036,62
1527491039,62
1527491042,62
1527491045,62
1527491048,62
1527491051,62
1527491054,62
1527491057,62
1527491060,61
1527491063,61
1527491066,61
1527491069,61
1527491072,61
1527491075,61
1527491078,61
1527491081,61
1527491084,61
1527491087,61
1527491090,61
1527491093,61
1527491096,61
1527491099,61
1527491102,61
1527491105,61
1527491108,61
1527491111,61
1527491114,61
1527491117,61
1527491120,60
1527491123,60
1527491126,60
1527491129,60
1527491132,60
1527491135,60
1527491138,60
1527491141,60
1527491144,60
1527491147,60
1527491150,60
1527491153,60
1527491156,60
1527491159,60
1527491162,60
1527491165,60
1527491168,60
1527491171,60
1527491174,60
1527491177,60
1527491180,59
1527491183,59
1527491186,59
1527491189,59
1527491192,59
1527491195,59
1527491198,59
1527491201,59
1527491204,59
1527491207,59
1527491210,59
1527491213,59
1527491216,59
1527491219,59
1527491222,59
1527491225,59
1527491228,59
1527491231,59
1527491234,59
1527491237,59
1527491240,58
1527491243,58
1527491246,58
1527491249,58
1527491252,58
1527491255,58
1527491258,58
1527491261,58
1527491264,58
1527491267,58
1527491270,58
1527491273,58
