t,value
1527490619,29
1527490622,29
1527490625,30
1527490628,33
1527490631,51
1527490634,58
1527490637,58
1527490640,58
1527490643,58
1527490646,57
1527490649,56
1527490652,56
1527490655,56
1527490658,56
1527490661,55
1527490664,55
1527490667,55
1527490670,55
1527490673,55
1527490676,54
1527490679,54
1527490682,54
1527490685,54
1527490688,54
1527490691,54
1527490694,53
1527490697,53
1527490700,53
1527490703,53
1527490706,53
1527490709,53
1527490712,53
1527490715,53
1527490718,53
1527490721,53
1527490724,53
1527490727,53
1527490730,53
1527490733,53
1527490736,53
1527490739,53
1527490742,53
1527490745,53
1527490748,53
1527490751,53
1527490754,52
1527490757,52
1527490760,52
1527490763,52
1527490766,52
1527490769,52
1527490772,52
1527490775,52
1527490778,52
1527490781,52
1527490784,52
1527490787,52
1527490790,52
1527490793,52
1527490796,52
1527490799,52
1527490802,52
1527490805,52
1527490808,52
1527490811,52
1527490814,51
1527490817,51
1527490820,51
1527490823,51
1527490826,51
1527490829,51
1527490832,51
1527490835,51
1527490838,51
1527490841,51
1527490844,51
1527490847,51
1527490850,51
1527490853,51
1527490856,51
1527490859,51
1527490862,51
1527490865,51
1527490868,51
1527490871,51
1527490874,51
1527490877,57
1527490880,61
1527490883,65
1527490886,66
1527490889,67
1527490892,67
1527490895,67
1527490898,67
1527490901,69
1527490904,69
1527490907,69
1527490910,69
1527490913,69
1527490916,68
1527490919,68
1527490922,69
1527490925,69
1527490928,69
1527490931,69
1527490934,69
1527490937,68
1527490940,67
1527490943,68
1527490946,68
1527490949,68
1527490952,68
1527490955,68
1527490958,67
1527490961,67
1527490964,68
1527490967,68
1527490970,68
1527490973,68
1527490976,67
1527490979,67
1527490982,67
1527490985,67
1527490988,67
1527490991,67
1527490994,66
1527490997,66
1527491000,65
1527491003,65
1527491006,65
1527491009,65
1527491012,65
1527491015,65
1527491018,65
1527491021,65
1527491024,65
1527491027,65
1527491030,65
1527491033,65
1527491036,65
1527491039,65
1527491042,65
1527491045,65
1527491048,65
1527491051,65
1527491054,65
1527491057,65
1527491060,64
1527491063,64
1527491066,64
1527491069,64
1527491072,64
1527491075,64
1527491078,64
1527491081,64
1527491084,64
1527491087,64
1527491090,64
1527491093,64
1527491096,64
1527491099,64
1527491102,64
1527491105,64
1527491108,64
1527491111,64
1527491114,64
1527491117,64
1527491120,63
1527491123,63
1527491126,63
1527491129,63
1527491132,63
1527491135,63
1527491138,63
1527491141,63
1527491144,63
1527491147,63
1527491150,63
1527491153,63
1527491156,63
1527491159,63
1527491162,63
1527491165,63
1527491168,63
1527491171,63
1527491174,63
1527491177,63
1527491180,62
1527491183,62
1527491186,62
1527491189,62
1527491192,62
1527491195,62
1527491198,62
1527491201,62
1527491204,62
1527491207,62
1527491210,62
1527491213,62
1527491216,62
1527491219,63
1527491222,63
1527491225,62
1527491228,62
1527491231,62
1527491234,62
1527491237,62
1527491240,61
1527491243,61
1527491246,61
1527491249,61
1527491252,61
1527491255,61
1527491258,61
1527491261,61
1527491264,61
1527491267,61
1527491270,61
1527491273,61
1527491276,61
1527491279,61
1527491282,61
1527491285,61
1527491288,61
1527491291,61
1527491294,61
1527491297,61
1527491300,61
1527491303,61
1527491306,61
1527491309,61
1527491312,61
1527491315,61
1527491318,61
1527491321,61
1527491324,61
1527491327,61
1527491330,61
1527491333,61
1527491336,61
1527491339,61
1527491342,61
1527491345,61
1527491348,61
1527491351,61
1527491354,61
1527491357,61
1527491360,61
1527491363,61
1527491366,61
1527491369,61
1527491372,61
1527491375,61
1527491378,61
1527491381,61
1527491384,61
1527491387,61
1527491390,61
1527491393,61
1527491396,61
1527491399,61
1527491402,61
1527491405,61
1527491408,61
1527491411,61
1527491414,61
1527491417,61
1527491420,61
1527491423,61
1527491426,61
1527491429,61
1527491432,61
1527491435,61
1527491438,61
1527491441,61
1527491444,61
1527491447,61
1527491450,61
1527491453,61
1527491456,61
1527491459,61
1527491462,61
1527491465,61
1527491468,61
1527491471,61
1527491474,61
1527491477,61
1527491480,61
1527491483,61
1527491486,61
1527491489,61
1527491492,61
1527491495,61
1527491498,61
1527491501,63
1527491504,63
1527491507,63
1527491510,63
1527491513,62
1527491516,62
1527491519,62
1527491522,62
1527491525,62
1527491528,62
1527491531,62
1527491534,62
1527491537,61
1527491540,62
1527491543,62
1527491546,62
1527491549,62
1527491552,62
1527491555,61
1527491558,61
1527491561,62
1527491564,62
1527491567,62
1527491570,62
1527491573,62
1527491576,61
1527491579,61
1527491582,62
1527491585,62
1527491588,62
1527491591,62
1527491594,62
1527491597,61
1527491600,62
1527491603,62
1527491606,62
1527491609,62
1527491612,62
1527491615,62
1527491618,61
1527491621,62
1527491624,62
1527491627,62
1527491630,62
1527491633,62
1527491636,62
1527491639,61
1527491642,62
1527491645,62
1527491648,62
1527491651,62
1527491654,62
1527491657,61
1527491660,62
1527491663,62
1527491666,62
1527491669,62
1527491672,62
1527491675,62
1527491678,61
1527491681,62
1527491684,62
1527491687,62
1527491690,62
1527491693,62
1527491696,61
1527491699,61
1527491702,62
1527491705,62
1527491708,62
1527491711,62
1527491714,62
1527491717,61
1527491720,62
1527491723,62
1527491726,62
1527491729,62
1527491732,62
1527491735,62
1527491738,61
1527491741,62
1527491744,62
1527491747,62
1527491750,62
1527491753,62
1527491756,61
1527491759,61
1527491762,62
1527491765,62
1527491768,62
1527491771,62
1527491774,62
1527491777,61
1527491780,62
1527491783,62
1527491786,62
1527491789,62
1527491792,62
1527491795,62
1527491798,61
1527491801,62
1527491804,62
1527491807,62
1527491810,62
1527491813,62
1527491816,61
1527491819,61
1527491822,62
1527491825,62
1527491828,62
1527491831,62
1527491834,62
1527491837,61
1527491840,62
1527491843,62
1527491846,62
1527491849,62
1527491852,62
1527491855,62
1527491858,61
1527491861,62
1527491864,62
1527491867,62
1527491870,62
1527491873,62
1527491876,62
1527491879,61
1527491882,62
1527491885,62
1527491888,62
1527491891,62
1527491894,62
1527491897,61
1527491900,62
1527491903,62
1527491906,62
1527491909,62
1527491912,62
1527491915,62
1527491918,61
1527491921,62
1527491924,62
1527491927,62
1527491930,62
1527491933,62
